policy_name,scenario_name,signature
FLC,paper_default,completed=3|dropped=0|throughput=3
FLC,moderate,completed=3|dropped=0|throughput=3
VO,paper_default,completed=1|dropped=0|throughput=1
VO,moderate,completed=2|dropped=0|throughput=2
HO,paper_default,completed=1|dropped=0|throughput=1
HO,moderate,completed=2|dropped=0|throughput=2
RO,paper_default,completed=2|dropped=0|throughput=2
RO,moderate,completed=2|dropped=0|throughput=2
BCO,paper_default,completed=3|dropped=0|throughput=3
BCO,moderate,completed=3|dropped=0|throughput=3
MLEO,paper_default,completed=3|dropped=0|throughput=3
MLEO,moderate,completed=3|dropped=0|throughput=3
ADAPTIVE,paper_default,completed=1|dropped=0|throughput=1
ADAPTIVE,moderate,completed=2|dropped=0|throughput=2
