seed,scenario_name,episode_length,status,support_level
7,paper_default,4,robust_collapse_reduced,full
7,paper_default,6,robust_collapse_reduced,full
7,moderate,4,robust_collapse_reduced,full
7,moderate,6,robust_collapse_reduced,full
7,heavy,4,robust_collapse_reduced,full
7,heavy,6,robust_collapse_reduced,full
11,paper_default,4,robust_collapse_reduced,full
11,paper_default,6,robust_collapse_reduced,full
11,moderate,4,robust_collapse_reduced,full
11,moderate,6,robust_collapse_reduced,full
11,heavy,4,robust_collapse_reduced,full
11,heavy,6,robust_collapse_reduced,full
13,paper_default,4,robust_collapse_reduced,full
13,paper_default,6,robust_collapse_reduced,full
13,moderate,4,robust_collapse_reduced,full
13,moderate,6,robust_collapse_reduced,full
13,heavy,4,robust_collapse_reduced,full
13,heavy,6,robust_collapse_reduced,full
