policy_name,scenario_name,seed,trace_id,average_delay,drop_ratio,throughput,completed_tasks,dropped_tasks,total_tasks
ADAPTIVE,extreme,1,extreme-1,5.375,0.0,8,8,0,8
ADAPTIVE,heavy,1,heavy-1,5.375,0.0,8,8,0,8
ADAPTIVE,moderate,1,moderate-1,5.375,0.0,8,8,0,8
ADAPTIVE,paper_default,1,paper_default-1,5.375,0.0,8,8,0,8
BCO,extreme,1,extreme-1,5.0,0.0,9,9,0,9
BCO,heavy,1,heavy-1,5.0,0.0,9,9,0,9
BCO,moderate,1,moderate-1,5.0,0.0,9,9,0,9
BCO,paper_default,1,paper_default-1,5.0,0.0,9,9,0,9
FLC,extreme,1,extreme-1,5.0,0.0,9,9,0,9
FLC,heavy,1,heavy-1,5.0,0.0,9,9,0,9
FLC,moderate,1,moderate-1,5.0,0.0,9,9,0,9
FLC,paper_default,1,paper_default-1,5.0,0.0,9,9,0,9
HO,extreme,1,extreme-1,5.5,0.0,8,8,0,8
HO,heavy,1,heavy-1,5.5,0.0,8,8,0,8
HO,moderate,1,moderate-1,5.5,0.0,8,8,0,8
HO,paper_default,1,paper_default-1,5.5,0.0,8,8,0,8
MLEO,extreme,1,extreme-1,5.0,0.0,9,9,0,9
MLEO,heavy,1,heavy-1,5.0,0.0,9,9,0,9
MLEO,moderate,1,moderate-1,5.0,0.0,9,9,0,9
MLEO,paper_default,1,paper_default-1,5.0,0.0,9,9,0,9
RO,extreme,1,extreme-1,5.375,0.0,8,8,0,8
RO,heavy,1,heavy-1,5.375,0.0,8,8,0,8
RO,moderate,1,moderate-1,5.375,0.0,8,8,0,8
RO,paper_default,1,paper_default-1,5.375,0.0,8,8,0,8
VO,extreme,1,extreme-1,5.5,0.0,8,8,0,8
VO,heavy,1,heavy-1,5.5,0.0,8,8,0,8
VO,moderate,1,moderate-1,5.5,0.0,8,8,0,8
VO,paper_default,1,paper_default-1,5.5,0.0,8,8,0,8
