policy_name,scenario_name,seed,trace_id,average_delay,drop_ratio,throughput,completed_tasks,dropped_tasks,total_tasks,generated_arrivals,finalized_terminal_tasks,pending_at_horizon
FLC,paper_default,0,paper_default-0,0.0,0.0,0,0,0,0,1095,0,1095
FLC,paper_default,1,paper_default-1,0.0,1.0,0,0,1,1,1082,1,1081
FLC,paper_default,2,paper_default-2,0.0,1.0,0,0,1,1,1076,1,1075
VO,paper_default,0,paper_default-0,0.0,0.0,0,0,0,0,1095,0,1095
VO,paper_default,1,paper_default-1,0.0,1.0,0,0,1,1,1082,1,1081
VO,paper_default,2,paper_default-2,0.0,1.0,0,0,1,1,1076,1,1075
HO,paper_default,0,paper_default-0,0.0,0.0,0,0,0,0,1095,0,1095
HO,paper_default,1,paper_default-1,0.0,1.0,0,0,1,1,1082,1,1081
HO,paper_default,2,paper_default-2,0.0,1.0,0,0,1,1,1076,1,1075
RO,paper_default,0,paper_default-0,0.0,1.0,0,0,1,1,1095,1,1094
RO,paper_default,1,paper_default-1,0.0,1.0,0,0,4,4,1082,4,1078
RO,paper_default,2,paper_default-2,0.0,1.0,0,0,2,2,1076,2,1074
BCO,paper_default,0,paper_default-0,0.0,0.0,0,0,0,0,1095,0,1095
BCO,paper_default,1,paper_default-1,0.0,1.0,0,0,1,1,1082,1,1081
BCO,paper_default,2,paper_default-2,0.0,1.0,0,0,1,1,1076,1,1075
MLEO,paper_default,0,paper_default-0,0.0,1.0,0,0,2,2,1095,2,1093
MLEO,paper_default,1,paper_default-1,0.0,1.0,0,0,4,4,1082,4,1078
MLEO,paper_default,2,paper_default-2,0.0,1.0,0,0,3,3,1076,3,1073
ADAPTIVE,paper_default,0,paper_default-0,0.0,0.0,0,0,0,0,1095,0,1095
ADAPTIVE,paper_default,1,paper_default-1,0.0,1.0,0,0,1,1,1082,1,1081
ADAPTIVE,paper_default,2,paper_default-2,0.0,1.0,0,0,1,1,1076,1,1075
