metric,rank,policy,value,direction,tie_break_trace
average_delay,1,CLOUD_ONLY,4.532258064516129,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
average_delay,2,ORIGINAL_HOODIE_BASELINE,4.532258064516129,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
average_delay,3,HOODIE_PROPOSED,4.82258064516129,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
average_delay,4,LOCAL_ONLY,4.82258064516129,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
average_delay,5,RANDOM_POLICY,5.403225806451613,lower_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
average_reward,1,CLOUD_ONLY,-7.748677248677249,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
average_reward,2,ORIGINAL_HOODIE_BASELINE,-7.748677248677249,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
average_reward,3,HOODIE_PROPOSED,-8.653439153439153,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
average_reward,4,LOCAL_ONLY,-8.653439153439153,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
average_reward,5,RANDOM_POLICY,-11.415343915343914,higher_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
completion_rate,1,CLOUD_ONLY,0.8928571428571429,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
completion_rate,2,ORIGINAL_HOODIE_BASELINE,0.8928571428571429,higher_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
completion_rate,3,HOODIE_PROPOSED,0.8690476190476191,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
completion_rate,4,LOCAL_ONLY,0.8690476190476191,higher_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
completion_rate,5,RANDOM_POLICY,0.7976190476190477,higher_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
deadline_violation_rate,1,CLOUD_ONLY,0.3333333333333333,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
deadline_violation_rate,2,ORIGINAL_HOODIE_BASELINE,0.3333333333333333,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
deadline_violation_rate,3,HOODIE_PROPOSED,0.40476190476190477,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
deadline_violation_rate,4,LOCAL_ONLY,0.40476190476190477,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
deadline_violation_rate,5,RANDOM_POLICY,0.4365079365079365,lower_is_better,"[""average_delay=5.403225806451613"", ""deadline_violation_rate=0.4365079365079365"", ""timeout_drop_rate=0.20238095238095238"", ""policy=RANDOM_POLICY""]"
illegal_action_rejection_count,1,CLOUD_ONLY,18.0,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=CLOUD_ONLY""]"
illegal_action_rejection_count,2,ORIGINAL_HOODIE_BASELINE,18.0,lower_is_better,"[""average_delay=4.532258064516129"", ""deadline_violation_rate=0.3333333333333333"", ""timeout_drop_rate=0.10714285714285714"", ""policy=ORIGINAL_HOODIE_BASELINE""]"
illegal_action_rejection_count,3,HOODIE_PROPOSED,18.0,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=HOODIE_PROPOSED""]"
illegal_action_rejection_count,4,LOCAL_ONLY,18.0,lower_is_better,"[""average_delay=4.82258064516129"", ""deadline_violation_rate=0.40476190476190477"", ""timeout_drop_rate=0.13095238095238096"", ""policy=LOCAL_ONLY""]"
