figure_id,policy,metric,x_axis,paper_x_axis,paper_x_axis_value,paper_y_axis,paper_curve_dimension,paper_curve_label,paper_curve_value,paper_validation_episodes,simulator_validation_episodes,validation_policy_mode,value,sweep_value,curve_label,curve_value,agent_count_curve,action_type,action_count,action_share,arrival_probability_bar,traffic_intensity_label,data_rate_configuration_label,seed_count,seeds,scenario_name,number_of_agents,episode_length,arrival_probability,task_size_mbits_min,task_size_mbits_max,task_size_mbits_step,timeout_slots,timeout_seconds,cpu_capacity_per_slot_agent,cpu_capacity_per_slot_edge,cpu_capacity_per_slot_cloud,horizontal_data_rate_mbps,vertical_data_rate_mbps,task_completion_delay_raw,paper_style_delay_for_plotting,task_drop_ratio,task_drop_percent,completion_rate,throughput,average_reward,total_reward,completed_tasks,dropped_tasks,total_tasks,generated_arrivals,finalized_terminal_tasks,pending_at_horizon,local_action_count,horizontal_action_count,vertical_action_count,total_selected_actions,local_action_share,horizontal_action_share,vertical_action_share,support_status,approximation_note,status,claim_boundary,notes
Figure 9b,HOODIE,action_distribution,action_type,action_type,local,action_distribution,task_arrival_probability,0.1,0.1,200,3,exploitative,0.0,0.1,local,,,local,0,0.0,0.1,,,3,"[7, 13, 21]",paper_default,20,110,0.1,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5284.0,-5284.0,0,1,1,627,1,626,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,local,action_distribution,task_arrival_probability,0.3,0.3,200,3,exploitative,0.0,0.3,local,,,local,0,0.0,0.3,,,3,"[7, 13, 21]",paper_default,20,110,0.3,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5394.0,-5394.0,0,1,1,1986,1,1985,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,local,action_distribution,task_arrival_probability,0.5,0.5,200,3,exploitative,0.0,0.5,local,,,local,0,0.0,0.5,,,3,"[7, 13, 21]",paper_default,20,110,0.5,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5216.0,-5216.0,0,1,1,3308,1,3307,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,local,action_distribution,task_arrival_probability,0.7,0.7,200,3,exploitative,0.0,0.7,local,,,local,0,0.0,0.7,,,3,"[7, 13, 21]",paper_default,20,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-2568.5,-5137.0,0,2,2,4622,2,4620,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,local,action_distribution,task_arrival_probability,0.9,0.9,200,3,exploitative,0.0,0.9,local,,,local,0,0.0,0.9,,,3,"[7, 13, 21]",paper_default,20,110,0.9,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5177.0,-5177.0,0,1,1,5937,1,5936,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,horizontal,action_distribution,task_arrival_probability,0.1,0.1,200,3,exploitative,1.0,0.1,horizontal,,,horizontal,1,1.0,0.1,,,3,"[7, 13, 21]",paper_default,20,110,0.1,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5284.0,-5284.0,0,1,1,627,1,626,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,horizontal,action_distribution,task_arrival_probability,0.3,0.3,200,3,exploitative,1.0,0.3,horizontal,,,horizontal,1,1.0,0.3,,,3,"[7, 13, 21]",paper_default,20,110,0.3,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5394.0,-5394.0,0,1,1,1986,1,1985,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,horizontal,action_distribution,task_arrival_probability,0.5,0.5,200,3,exploitative,1.0,0.5,horizontal,,,horizontal,1,1.0,0.5,,,3,"[7, 13, 21]",paper_default,20,110,0.5,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5216.0,-5216.0,0,1,1,3308,1,3307,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,horizontal,action_distribution,task_arrival_probability,0.7,0.7,200,3,exploitative,2.0,0.7,horizontal,,,horizontal,2,1.0,0.7,,,3,"[7, 13, 21]",paper_default,20,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-2568.5,-5137.0,0,2,2,4622,2,4620,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9b,HOODIE,action_distribution,action_type,action_type,horizontal,action_distribution,task_arrival_probability,0.9,0.9,200,3,exploitative,1.0,0.9,horizontal,,,horizontal,1,1.0,0.9,,,3,"[7, 13, 21]",paper_default,20,110,0.9,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-5177.0,-5177.0,0,1,1,5937,1,5936,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,Generated from current simulator action traces; action counts and shares are derived from exploitative validation rather than paper-trained policy runs.,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
