figure_id,policy,metric,x_axis,paper_x_axis,paper_x_axis_value,paper_y_axis,paper_curve_dimension,paper_curve_label,paper_curve_value,paper_validation_episodes,simulator_validation_episodes,validation_policy_mode,value,sweep_value,curve_label,curve_value,agent_count_curve,action_type,action_count,action_share,arrival_probability_bar,traffic_intensity_label,data_rate_configuration_label,seed_count,seeds,scenario_name,number_of_agents,episode_length,arrival_probability,task_size_mbits_min,task_size_mbits_max,task_size_mbits_step,timeout_slots,timeout_seconds,cpu_capacity_per_slot_agent,cpu_capacity_per_slot_edge,cpu_capacity_per_slot_cloud,horizontal_data_rate_mbps,vertical_data_rate_mbps,task_completion_delay_raw,paper_style_delay_for_plotting,task_drop_ratio,task_drop_percent,completion_rate,throughput,average_reward,total_reward,completed_tasks,dropped_tasks,total_tasks,generated_arrivals,finalized_terminal_tasks,pending_at_horizon,local_action_count,horizontal_action_count,vertical_action_count,total_selected_actions,local_action_share,horizontal_action_share,vertical_action_share,support_status,approximation_note,status,claim_boundary,notes
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,10.0,average_reward,traffic_intensity,moderate,moderate,200,3,exploitative,-4772.5,10.0,moderate,,,,,,,moderate,,3,"[7, 13, 21]",moderate,10,110,0.5,1.0,3.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-4772.5,-9545.0,0,2,2,1703,2,1701,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,15.0,average_reward,traffic_intensity,moderate,moderate,200,3,exploitative,-1862.8,15.0,moderate,,,,,,,moderate,,3,"[7, 13, 21]",moderate,15,110,0.5,1.0,3.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-1862.8,-9314.0,0,5,5,2512,5,2507,0,5,0,5,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,20.0,average_reward,traffic_intensity,moderate,moderate,200,3,exploitative,-4576.0,20.0,moderate,,,,,,,moderate,,3,"[7, 13, 21]",moderate,20,110,0.5,1.0,3.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-4576.0,-9152.0,0,2,2,3308,2,3306,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,25.0,average_reward,traffic_intensity,moderate,moderate,200,3,exploitative,-2935.3333333333335,25.0,moderate,,,,,,,moderate,,3,"[7, 13, 21]",moderate,25,110,0.5,1.0,3.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-2935.3333333333335,-8806.0,0,3,3,4165,3,4162,0,3,0,3,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,30.0,average_reward,traffic_intensity,moderate,moderate,200,3,exploitative,-4389.0,30.0,moderate,,,,,,,moderate,,3,"[7, 13, 21]",moderate,30,110,0.5,1.0,3.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-4389.0,-8778.0,0,2,2,5005,2,5003,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,10.0,average_reward,traffic_intensity,heavy,heavy,200,3,exploitative,0.0,10.0,heavy,,,,,,,heavy,,3,"[7, 13, 21]",heavy,10,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,-6066.0,0,0,0,2343,0,2343,0,0,0,0,0.0,0.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,15.0,average_reward,traffic_intensity,heavy,heavy,200,3,exploitative,-953.8333333333334,15.0,heavy,,,,,,,heavy,,3,"[7, 13, 21]",heavy,15,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-953.8333333333334,-5723.0,0,6,6,3483,6,3477,0,6,0,6,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,20.0,average_reward,traffic_intensity,heavy,heavy,200,3,exploitative,-2568.5,20.0,heavy,,,,,,,heavy,,3,"[7, 13, 21]",heavy,20,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-2568.5,-5137.0,0,2,2,4622,2,4620,0,2,0,2,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,25.0,average_reward,traffic_intensity,heavy,heavy,200,3,exploitative,-4897.0,25.0,heavy,,,,,,,heavy,,3,"[7, 13, 21]",heavy,25,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-4897.0,-4897.0,0,1,1,5805,1,5804,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9d,HOODIE,average_reward,number_of_agents,number_of_agents,30.0,average_reward,traffic_intensity,heavy,heavy,200,3,exploitative,-4517.0,30.0,heavy,,,,,,,heavy,,3,"[7, 13, 21]",heavy,30,110,0.7,2.0,5.0,0.1,20,2.0,0.5,0.5,3.0,30.0,10.0,0.0,-0.0,1.0,100.0,0.0,0,-4517.0,-4517.0,0,1,1,6971,1,6970,0,1,0,1,0.0,1.0,0.0,generated_with_approximation,"Generated from current simulator sweeps using the available topology and scenario adapters; the output is feasible from runtime evaluation, but it is not a trained-paper reproduction.",simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the paper Figure 9 semantic contract. The paper uses 200 exploitative validation episodes; this artifact records the simulator seed ensemble separately. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
