figure_id,policy,metric,x_axis,sweep_value,curve_label,curve_value,seed_count,seeds,scenario_name,number_of_agents,episode_length,arrival_probability,timeout_slots,timeout_seconds,cpu_capacity_per_slot_agent,cpu_capacity_per_slot_edge,cpu_capacity_per_slot_cloud,horizontal_data_rate_mbps,vertical_data_rate_mbps,task_completion_delay_raw,paper_style_delay_for_plotting,task_drop_ratio,task_drop_percent,completion_rate,throughput,average_reward,total_reward,completed_tasks,dropped_tasks,total_tasks,generated_arrivals,finalized_terminal_tasks,pending_at_horizon,local_action_count,horizontal_action_count,vertical_action_count,total_selected_actions,local_action_share,horizontal_action_share,vertical_action_share,status,claim_boundary,notes
Figure 9e,HOODIE,average_reward,number_of_agents,10.0,balanced,,3,"[7, 13, 21]",paper_default,10,110,0.5,20,2.0,0.5,0.5,3.0,10.0,30.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,-5807.0,0,0,0,1703,0,1703,0,0,0,0,0.0,0.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,15.0,balanced,,3,"[7, 13, 21]",paper_default,15,110,0.5,20,2.0,0.5,0.5,3.0,10.0,30.0,0.0,-0.0,1.0,100.0,0.0,0,-1390.25,-5561.0,0,4,4,2512,4,2508,0,4,0,4,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,20.0,balanced,,3,"[7, 13, 21]",paper_default,20,110,0.5,20,2.0,0.5,0.5,3.0,10.0,30.0,0.0,-0.0,1.0,100.0,0.0,0,-5151.0,-5151.0,0,1,1,3308,1,3307,0,1,0,1,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,25.0,balanced,,3,"[7, 13, 21]",paper_default,25,110,0.5,20,2.0,0.5,0.5,3.0,10.0,30.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,-4808.0,0,0,0,4165,0,4165,0,0,0,0,0.0,0.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,30.0,balanced,,3,"[7, 13, 21]",paper_default,30,110,0.5,20,2.0,0.5,0.5,3.0,10.0,30.0,0.0,-0.0,1.0,100.0,0.0,0,-4571.0,-4571.0,0,1,1,5005,1,5004,0,1,0,1,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,10.0,horizontal_centric,,3,"[7, 13, 21]",paper_default,10,110,0.5,20,2.0,0.5,0.5,3.0,20.0,20.0,0.0,-0.0,1.0,100.0,0.0,0,-1482.5,-5930.0,0,4,4,1703,4,1699,0,4,0,4,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,15.0,horizontal_centric,,3,"[7, 13, 21]",paper_default,15,110,0.5,20,2.0,0.5,0.5,3.0,20.0,20.0,0.0,-0.0,1.0,100.0,0.0,0,-1149.6,-5748.0,0,5,5,2512,5,2507,0,5,0,5,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,20.0,horizontal_centric,,3,"[7, 13, 21]",paper_default,20,110,0.5,20,2.0,0.5,0.5,3.0,20.0,20.0,0.0,-0.0,1.0,100.0,0.0,0,-1741.3333333333333,-5224.0,0,3,3,3308,3,3305,0,3,0,3,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,25.0,horizontal_centric,,3,"[7, 13, 21]",paper_default,25,110,0.5,20,2.0,0.5,0.5,3.0,20.0,20.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,-4840.0,0,0,0,4165,0,4165,0,0,0,0,0.0,0.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,30.0,horizontal_centric,,3,"[7, 13, 21]",paper_default,30,110,0.5,20,2.0,0.5,0.5,3.0,20.0,20.0,0.0,-0.0,1.0,100.0,0.0,0,-2341.5,-4683.0,0,2,2,5005,2,5003,0,2,0,2,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,10.0,vertical_centric,,3,"[7, 13, 21]",paper_default,10,110,0.5,20,2.0,0.5,0.5,3.0,5.0,40.0,0.0,-0.0,1.0,100.0,0.0,0,-1932.3333333333333,-5797.0,0,3,3,1703,3,1700,0,3,0,3,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,15.0,vertical_centric,,3,"[7, 13, 21]",paper_default,15,110,0.5,20,2.0,0.5,0.5,3.0,5.0,40.0,0.0,-0.0,1.0,100.0,0.0,0,-1089.6,-5448.0,0,5,5,2512,5,2507,0,5,0,5,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,20.0,vertical_centric,,3,"[7, 13, 21]",paper_default,20,110,0.5,20,2.0,0.5,0.5,3.0,5.0,40.0,0.0,-0.0,1.0,100.0,0.0,0,-1689.6666666666667,-5069.0,0,3,3,3308,3,3305,0,3,0,3,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,25.0,vertical_centric,,3,"[7, 13, 21]",paper_default,25,110,0.5,20,2.0,0.5,0.5,3.0,5.0,40.0,0.0,-0.0,1.0,100.0,0.0,0,-4608.0,-4608.0,0,1,1,4165,1,4164,0,1,0,1,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
Figure 9e,HOODIE,average_reward,number_of_agents,30.0,vertical_centric,,3,"[7, 13, 21]",paper_default,30,110,0.5,20,2.0,0.5,0.5,3.0,5.0,40.0,0.0,-0.0,1.0,100.0,0.0,0,-1516.3333333333333,-4549.0,0,3,3,5005,3,5002,0,3,0,3,0.0,1.0,0.0,simulator_generated,"[""Feature 080 prepares HOODIE_PROPOSED for later evaluation."", ""Ranking must wait until HOODIE_PROPOSED is implemented faithfully enough."", ""Do not rank policies."", ""Do not evaluate baselines."", ""Do not introduce thesis method."", ""Do not use DCQ."", ""Do not claim full reproduction unless all required components pass."", ""HOODIE remains the paper proposed method boundary."", ""No thesis/DCQ/custom-method claim is allowed."", ""Feature 086 approximations remain in force for output comparison.""]",Live simulator sweep generated from the simulator-supported Figure 9 parameter path. Figure 9d/9e use the dynamic multi-agent topology support path for N up to 30.
