episode_id,slot,node_id,active_public_queue_source_ids,active_public_queue_count,total_public_cpu_ghz,cpu_share_per_active_queue_ghz
episode-001,0,1,[7],1,5.0,5.0
episode-001,0,2,[1],1,5.0,5.0
episode-001,0,3,[],0,5.0,0.0
episode-001,0,4,[],0,5.0,0.0
episode-001,0,5,[],0,5.0,0.0
episode-001,0,6,[],0,5.0,0.0
episode-001,0,7,[],0,5.0,0.0
episode-001,0,8,[],0,5.0,0.0
episode-001,0,9,[],0,5.0,0.0
episode-001,0,10,[],0,5.0,0.0
episode-001,0,11,[],0,5.0,0.0
episode-001,0,12,[],0,5.0,0.0
episode-001,0,13,[],0,5.0,0.0
episode-001,0,14,[],0,5.0,0.0
episode-001,0,15,[],0,5.0,0.0
episode-001,0,16,[],0,5.0,0.0
episode-001,0,17,[],0,5.0,0.0
episode-001,0,18,[],0,5.0,0.0
episode-001,0,19,[],0,5.0,0.0
episode-001,0,20,[],0,5.0,0.0
episode-001,0,21,[],0,30.0,0.0
episode-001,1,1,"[4, 7, 14, 17]",4,5.0,1.25
episode-001,1,2,[1],1,5.0,5.0
episode-001,1,3,[],0,5.0,0.0
episode-001,1,4,[],0,5.0,0.0
episode-001,1,5,[],0,5.0,0.0
episode-001,1,6,[],0,5.0,0.0
episode-001,1,7,[],0,5.0,0.0
episode-001,1,8,[],0,5.0,0.0
episode-001,1,9,[],0,5.0,0.0
episode-001,1,10,[],0,5.0,0.0
episode-001,1,11,[],0,5.0,0.0
episode-001,1,12,[],0,5.0,0.0
episode-001,1,13,[],0,5.0,0.0
episode-001,1,14,[],0,5.0,0.0
episode-001,1,15,[],0,5.0,0.0
episode-001,1,16,[],0,5.0,0.0
episode-001,1,17,[],0,5.0,0.0
episode-001,1,18,[],0,5.0,0.0
episode-001,1,19,[],0,5.0,0.0
episode-001,1,20,[],0,5.0,0.0
episode-001,1,21,[],0,30.0,0.0
episode-001,2,1,"[4, 7, 10, 14, 17, 19]",6,5.0,0.8333333333333334
episode-001,2,2,[],0,5.0,0.0
episode-001,2,3,[],0,5.0,0.0
episode-001,2,4,[],0,5.0,0.0
episode-001,2,5,[],0,5.0,0.0
episode-001,2,6,[],0,5.0,0.0
episode-001,2,7,[],0,5.0,0.0
episode-001,2,8,[],0,5.0,0.0
episode-001,2,9,[],0,5.0,0.0
episode-001,2,10,[],0,5.0,0.0
episode-001,2,11,[],0,5.0,0.0
episode-001,2,12,[],0,5.0,0.0
episode-001,2,13,[],0,5.0,0.0
episode-001,2,14,[],0,5.0,0.0
episode-001,2,15,[],0,5.0,0.0
episode-001,2,16,[],0,5.0,0.0
episode-001,2,17,[],0,5.0,0.0
episode-001,2,18,[],0,5.0,0.0
episode-001,2,19,[],0,5.0,0.0
episode-001,2,20,[],0,5.0,0.0
episode-001,2,21,"[2, 15, 18]",3,30.0,10.0
episode-001,3,1,"[4, 7, 10, 13, 14, 17, 19]",7,5.0,0.7142857142857143
episode-001,3,2,[1],1,5.0,5.0
episode-001,3,3,[],0,5.0,0.0
episode-001,3,4,[],0,5.0,0.0
episode-001,3,5,[],0,5.0,0.0
episode-001,3,6,[],0,5.0,0.0
episode-001,3,7,[],0,5.0,0.0
episode-001,3,8,[],0,5.0,0.0
episode-001,3,9,[],0,5.0,0.0
episode-001,3,10,[],0,5.0,0.0
episode-001,3,11,[],0,5.0,0.0
episode-001,3,12,[],0,5.0,0.0
episode-001,3,13,[],0,5.0,0.0
episode-001,3,14,[],0,5.0,0.0
episode-001,3,15,[],0,5.0,0.0
episode-001,3,16,[],0,5.0,0.0
episode-001,3,17,[],0,5.0,0.0
episode-001,3,18,[],0,5.0,0.0
episode-001,3,19,[],0,5.0,0.0
episode-001,3,20,[],0,5.0,0.0
