slot,event,task_id,source_ea_id,arrival_slot,size_mbits,processing_density_gcycles_per_mbit,timeout_slots,deadline_slot,policy,decision_level_1,destination_node_id,path_type,status,private_queue_enter_slot,offloading_queue_enter_slot,public_queue_enter_slot,queue_exit_slot,final_completion_slot,drop_slot,reward_collection_slot,reward,delay_slots,delay_sec,metadata,episode_id,node_id,active_public_queue_source_ids,active_public_queue_count,total_public_cpu_ghz,cpu_share_per_active_queue_ghz
0,arrival,1,1,0,2.0,0.297,20,19,mixed_test_policy,offload,2,horizontal,in_public_queue,,0,0,,,,,,,,{},,,,,,
0,arrival,2,2,0,2.1,0.297,20,19,mixed_test_policy,offload,21,vertical,pending,,0,,,,,,,,,{},,,,,,
0,arrival,3,4,0,2.2,0.297,20,19,mixed_test_policy,local,4,local,pending,0,,,,,,,,,,{},,,,,,
0,arrival,4,6,0,2.3,0.297,20,19,mixed_test_policy,offload,1,horizontal,in_public_queue,,0,0,,,,,,,,{},,,,,,
0,arrival,5,7,0,2.4,0.297,20,19,mixed_test_policy,offload,21,vertical,pending,,0,,,,,,,,,{},,,,,,
0,arrival,6,9,0,2.5,0.297,20,19,mixed_test_policy,local,9,local,pending,0,,,,,,,,,,{},,,,,,
0,arrival,7,10,0,2.6,0.297,20,19,mixed_test_policy,offload,1,horizontal,in_public_queue,,0,0,,,,,,,,{},,,,,,
0,arrival,8,11,0,2.7,0.297,20,19,mixed_test_policy,offload,21,vertical,pending,,0,,,,,,,,,{},,,,,,
0,arrival,9,12,0,2.8,0.297,20,19,mixed_test_policy,local,12,local,pending,0,,,,,,,,,,{},,,,,,
0,arrival,10,13,0,2.9,0.297,20,19,mixed_test_policy,offload,1,horizontal,in_public_queue,,0,0,,,,,,,,{},,,,,,
0,arrival,11,15,0,3.0,0.297,20,19,mixed_test_policy,offload,21,vertical,pending,,0,,,,,,,,,{},,,,,,
0,arrival,12,16,0,3.1,0.297,20,19,mixed_test_policy,local,16,local,pending,0,,,,,,,,,,{},,,,,,
0,arrival,13,20,0,3.2,0.297,20,19,mixed_test_policy,offload,1,horizontal,pending,,0,,,,,,,,,{},,,,,,
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,1,"[6, 10, 13]",3,5.0,1.6666666666666667
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,2,[1],1,5.0,5.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,3,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,4,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,5,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,6,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,7,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,8,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,9,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,10,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,11,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,12,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,13,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,14,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,15,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,16,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,17,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,18,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,19,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,20,[],0,5.0,0.0
0,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,21,[],0,30.0,0.0
1,arrival,14,2,1,3.3,0.297,20,20,mixed_test_policy,offload,21,vertical,pending,,1,,,,,,,,,{},,,,,,
1,arrival,15,4,1,3.4,0.297,20,20,mixed_test_policy,local,4,local,pending,1,,,,,,,,,,{},,,,,,
1,arrival,16,5,1,3.5,0.297,20,20,mixed_test_policy,offload,1,horizontal,pending,,1,,,,,,,,,{},,,,,,
1,arrival,17,6,1,3.6,0.297,20,20,mixed_test_policy,offload,21,vertical,pending,,1,,,,,,,,,{},,,,,,
1,arrival,18,7,1,3.7,0.297,20,20,mixed_test_policy,local,7,local,pending,1,,,,,,,,,,{},,,,,,
1,arrival,19,9,1,3.8,0.297,20,20,mixed_test_policy,offload,1,horizontal,pending,,1,,,,,,,,,{},,,,,,
1,arrival,20,12,1,3.9,0.297,20,20,mixed_test_policy,offload,21,vertical,pending,,1,,,,,,,,,{},,,,,,
1,arrival,21,14,1,4.0,0.297,20,20,mixed_test_policy,local,14,local,pending,1,,,,,,,,,,{},,,,,,
1,arrival,22,15,1,4.1,0.297,20,20,mixed_test_policy,offload,1,horizontal,pending,,1,,,,,,,,,{},,,,,,
1,arrival,23,16,1,4.2,0.297,20,20,mixed_test_policy,offload,21,vertical,pending,,1,,,,,,,,,{},,,,,,
1,arrival,24,18,1,4.3,0.297,20,20,mixed_test_policy,local,18,local,pending,1,,,,,,,,,,{},,,,,,
1,arrival,25,19,1,4.4,0.297,20,20,mixed_test_policy,offload,1,horizontal,pending,,1,,,,,,,,,{},,,,,,
1,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,1,"[6, 10, 13, 20]",4,5.0,1.25
1,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,2,[1],1,5.0,5.0
1,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,3,[],0,5.0,0.0
1,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,4,[],0,5.0,0.0
1,public_active_set,,,,,,,,,,,,,,,,,,,,,,,,episode-001,5,[],0,5.0,0.0
