sweep_name,sweep_value,policy_name,episodes_completed,mean_average_delay,std_average_delay,mean_drop_ratio,std_drop_ratio,total_tasks,completed_tasks,dropped_tasks,pending_tasks,mean_local_action_ratio,mean_horizontal_action_ratio,mean_vertical_action_ratio,mean_unknown_action_ratio,policy_status,warnings
local_cpu_capacity_sweep,3,BCO,60,5.2549,1.365,0.1791,0.1461,1794,1446,328,20,0.2005,0.1927,0.2035,0.4033,ready,[]
local_cpu_capacity_sweep,3,FLC,60,1.0,0.0,0.0,0.0,1794,1774,0,20,1.0,0.0,0.0,0.0,ready,[]
local_cpu_capacity_sweep,3,HO,60,7.142,0.2544,0.3312,0.1017,1906,1250,636,20,0.0,0.321,0.3441,0.3349,ready,[]
local_cpu_capacity_sweep,3,HOODIE,60,4.9036,0.3976,0.1349,0.0732,1828,1556,252,20,0.1794,0.2073,0.222,0.3913,ready,[]
local_cpu_capacity_sweep,3,MLEO,60,1.0,0.0,0.0,0.0,1794,1774,0,20,1.0,0.0,0.0,0.0,ready,[]
local_cpu_capacity_sweep,3,RO,60,4.8023,0.6332,0.125,0.0685,1782,1536,226,20,0.2124,0.1972,0.1949,0.3954,ready,[]
local_cpu_capacity_sweep,3,VO,60,6.7555,0.5465,0.3096,0.1697,1794,1188,586,20,0.0,0.0,0.0,1.0,ready,[]
local_cpu_capacity_sweep,4,BCO,60,5.2549,1.365,0.1791,0.1461,1794,1446,328,20,0.2005,0.1927,0.2035,0.4033,ready,[]
local_cpu_capacity_sweep,4,FLC,60,1.0,0.0,0.0,0.0,1794,1774,0,20,1.0,0.0,0.0,0.0,ready,[]
local_cpu_capacity_sweep,4,HO,60,7.142,0.2544,0.3312,0.1017,1906,1250,636,20,0.0,0.321,0.3441,0.3349,ready,[]
local_cpu_capacity_sweep,4,HOODIE,60,4.9036,0.3976,0.1349,0.0732,1828,1556,252,20,0.1794,0.2073,0.222,0.3913,ready,[]
local_cpu_capacity_sweep,4,MLEO,60,1.0,0.0,0.0,0.0,1794,1774,0,20,1.0,0.0,0.0,0.0,ready,[]
local_cpu_capacity_sweep,4,RO,60,4.8023,0.6332,0.125,0.0685,1782,1536,226,20,0.2124,0.1972,0.1949,0.3954,ready,[]
local_cpu_capacity_sweep,4,VO,60,6.7555,0.5465,0.3096,0.1697,1794,1188,586,20,0.0,0.0,0.0,1.0,ready,[]
