episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,1,0,[7],4,20,-0.0
0,1,1,[7],0,1,-0.0
0,1,2,[7],1,7,-0.0
0,1,3,[7],1,8,-0.0
0,1,4,[7],3,19,-0.0
0,1,5,[7],2,10,-0.0
0,1,6,[7],0,6,-0.0
0,1,7,[7],3,17,-0.0
0,1,8,[7],4,20,-0.0
0,1,9,[7],3,19,-0.0
0,1,10,[7],3,15,-0.0
0,1,11,[7],4,20,-0.0
0,1,12,[7],2,7,-0.0
0,1,13,[7],0,13,-0.0
0,1,14,[7],1,4,-0.0
0,1,15,[7],2,5,-0.0
0,1,16,[7],4,20,-0.0
0,1,17,[7],1,2,-0.0
0,1,18,[7],2,8,-0.0
0,1,19,[7],0,19,-0.0
0,2,0,[7],4,20,-0.05000000074505806
0,2,1,[7],0,1,-0.0
0,2,2,[7],1,7,-0.0
0,2,3,[7],4,20,-0.0
0,2,4,[7],3,19,-0.0
0,2,5,[7],2,10,-0.0
0,2,6,[7],3,16,-0.0
0,2,7,[7],2,12,-0.0
0,2,8,[7],3,18,-0.0
0,2,9,[7],3,19,-0.0
0,2,10,[7],4,20,-0.0
0,2,11,[7],3,16,-0.0
0,2,12,[7],3,17,-0.0
0,2,13,[7],3,18,-0.0
0,2,14,[7],1,4,-0.0
0,2,15,[7],4,20,-0.0
0,2,16,[7],2,6,-0.0
0,2,17,[7],3,12,-0.0
0,2,18,[7],0,18,-0.0
0,2,19,[7],1,4,-0.0
0,3,0,[7],3,15,-0.0
0,3,1,[7],1,6,-0.07500000298023224
0,3,2,[7],4,20,-0.0
0,3,3,[7],3,18,-0.0
0,3,4,[7],0,4,-0.0
0,3,5,[7],1,0,-0.0
0,3,6,[7],3,16,-0.0
0,3,7,[7],4,20,-0.0
0,3,8,[7],0,8,-0.0
0,3,9,[7],2,14,-0.0
0,3,10,[7],1,0,-0.0
0,3,11,[7],0,11,-0.0
0,3,12,[7],4,20,-0.0
0,3,13,[7],2,8,-0.07500000298023224
0,3,14,[7],3,19,-0.0
0,3,15,[7],2,5,-0.0
0,3,16,[7],4,20,-0.07500000298023224
0,3,17,[7],1,2,-0.0
0,3,18,[7],3,13,-0.05000000074505806
0,3,19,[7],4,20,-0.0
0,4,0,[7],1,5,-0.07500000298023224
0,4,1,[7],3,16,-0.0
0,4,2,[7],2,12,-0.0
0,4,3,[7],0,3,-0.0
0,4,4,[7],3,19,-0.0
0,4,5,[7],3,15,-0.0
0,4,6,[7],0,6,-0.0
0,4,7,[7],2,12,-0.0
0,4,8,[7],0,8,-0.0
0,4,9,[7],4,20,-0.0
0,4,10,[7],4,20,-0.0
