task_id,episode_id,arrival_time,source_node,queue_enter_time,service_start_time,service_end_time,completion_time,drop_time,selected_action,processing_node,latency,waiting_time,service_time,final_status,drop_reason
2,0,0,0,,,,,,,,,,,pending,
3,0,0,1,,,,,,,,,,,pending,
4,0,0,2,,,,,,,,,,,pending,
5,0,0,3,,,,,,,,,,,pending,
6,0,0,5,,,,,,,,,,,pending,
7,0,0,6,,,,,,,,,,,pending,
8,0,0,8,,,,,,,,,,,pending,
9,0,0,9,,,,,,,,,,,pending,
10,0,0,15,,,,,,,,,,,pending,
11,0,0,16,,,,,,,,,,,pending,
12,0,0,17,,,,,,,,,,,pending,
13,0,0,19,,,,,,,,,,,pending,
14,0,0,0,1,1,2,,,,-1,2,1,1,pending,
15,0,0,1,1,1,3,,,,-1,3,1,2,pending,
16,0,0,3,1,1,,,10,,-1,10,,,dropped,timeout
17,0,0,5,1,1,6,,,,-1,6,1,5,pending,
18,0,0,9,1,1,8,,,,-1,8,1,7,pending,
19,0,0,10,1,1,6,,,,-1,6,1,5,pending,
20,0,0,13,1,1,3,,,,-1,3,1,2,pending,
21,0,0,14,1,1,5,,,,-1,5,1,4,pending,
22,0,0,16,1,1,3,,,,-1,3,1,2,pending,
23,0,0,18,1,1,8,,,,-1,8,1,7,pending,
24,0,1,0,2,2,4,,,4,20,3,1,2,pending,
25,0,1,4,2,2,9,,,3,19,8,1,7,pending,
26,0,1,7,2,2,7,,,3,17,6,1,5,pending,
27,0,1,8,2,2,9,,,4,20,8,1,7,pending,
28,0,1,10,2,5,7,,,3,15,6,4,2,pending,
29,0,1,12,2,2,9,,,2,7,8,1,7,pending,
30,0,1,14,2,4,10,,,1,4,9,3,6,pending,
31,0,1,18,2,2,3,,,2,8,2,1,1,pending,
32,0,2,0,3,4,8,,,4,20,6,2,4,pending,
33,0,2,4,3,3,5,,,3,19,3,1,2,pending,
34,0,2,5,3,5,11,,,2,10,9,3,6,pending,
35,0,2,6,3,3,11,,,3,16,9,1,8,pending,
36,0,2,7,3,6,8,,,2,12,6,4,2,pending,
37,0,2,10,3,7,,,12,4,20,10,,,dropped,timeout
38,0,2,15,3,3,7,,,4,20,5,1,4,pending,
39,0,3,0,4,7,,,13,3,15,10,,,dropped,timeout
40,0,3,1,4,4,10,,,1,6,7,1,6,pending,
41,0,3,5,4,9,,,13,1,0,10,,,dropped,timeout
42,0,3,7,4,8,,,13,4,20,10,,,dropped,timeout
43,0,3,9,4,5,6,,,2,14,3,2,1,pending,
44,0,3,11,4,4,6,,,0,11,3,1,2,pending,
45,0,3,13,4,4,8,,,2,8,5,1,4,pending,
46,0,3,17,4,4,10,,,1,2,7,1,6,pending,
47,0,3,18,4,5,10,,,3,13,7,2,5,pending,
48,0,3,19,4,4,10,,,4,20,7,1,6,pending,
49,0,4,0,5,12,,,14,1,5,10,,,dropped,timeout
50,0,4,1,5,5,7,,,3,16,3,1,2,pending,
51,0,4,3,5,5,6,,,0,3,2,1,1,pending,
52,0,4,4,5,6,10,,,3,19,6,2,4,pending,
53,0,4,7,5,5,7,,,2,12,3,1,2,pending,
54,0,4,8,5,7,9,,,0,8,5,3,2,pending,
55,0,4,9,5,6,12,,,4,20,8,2,6,pending,
56,0,4,11,5,6,13,,,4,20,9,2,7,pending,
57,0,4,13,5,5,6,,,1,3,2,1,1,pending,
58,0,4,18,5,9,,,14,3,13,10,,,dropped,timeout
59,0,4,19,5,5,6,,,1,4,2,1,1,pending,
60,0,5,0,6,14,,,15,1,5,10,,,dropped,timeout
61,0,5,1,6,7,13,,,0,1,8,2,6,pending,
62,0,5,2,6,6,8,,,0,2,3,1,2,pending,
63,0,5,3,6,7,9,,,0,3,4,2,2,pending,
64,0,5,11,6,11,,,15,2,6,10,,,dropped,timeout
65,0,5,12,6,7,14,,,3,17,9,2,7,pending,
66,0,5,13,6,7,13,,,0,13,8,2,6,pending,
67,0,5,16,6,6,10,,,4,20,5,1,4,pending,
68,0,6,1,7,11,,,16,2,11,10,,,dropped,timeout
69,0,6,3,7,10,11,,,0,3,5,4,1,pending,
70,0,6,6,7,7,9,,,1,1,3,1,2,pending,
71,0,6,7,7,13,,,16,1,2,10,,,dropped,timeout
72,0,6,9,7,7,8,,,3,19,2,1,1,pending,
73,0,6,10,7,12,,,16,2,5,10,,,dropped,timeout
74,0,6,11,7,14,,,16,3,16,10,,,dropped,timeout
75,0,6,12,7,7,9,,,1,2,3,1,2,pending,
76,0,6,13,7,11,15,,,1,3,9,5,4,pending,
77,0,6,15,7,7,11,,,1,0,5,1,4,pending,
78,0,6,16,7,9,11,,,2,6,5,3,2,pending,
79,0,6,17,7,7,9,,,1,2,3,1,2,pending,
80,0,7,5,8,13,,,17,0,5,10,,,dropped,timeout
81,0,7,7,8,16,,,17,3,17,10,,,dropped,timeout
82,0,7,8,8,8,10,,,1,3,3,1,2,pending,
83,0,7,11,8,16,,,17,2,6,10,,,dropped,timeout
84,0,7,12,8,12,,,17,0,12,10,,,dropped,timeout
85,0,7,13,8,14,,,17,3,18,10,,,dropped,timeout
86,0,7,14,8,8,10,,,0,14,3,1,2,pending,
87,0,7,16,8,11,15,,,4,20,8,4,4,pending,
88,0,7,17,8,8,10,,,0,17,3,1,2,pending,
89,0,7,18,8,14,,,17,1,3,10,,,dropped,timeout
90,0,7,19,8,8,,,17,3,14,10,,,dropped,timeout
91,0,8,0,9,15,,,18,4,20,10,,,dropped,timeout
92,0,8,1,9,15,,,18,2,11,10,,,dropped,timeout
93,0,8,3,9,9,16,,,2,13,8,1,7,pending,
94,0,8,4,9,9,11,,,3,19,3,1,2,pending,
95,0,8,7,9,17,,,18,1,2,10,,,dropped,timeout
96,0,8,11,9,17,,,18,3,16,10,,,dropped,timeout
97,0,8,14,9,9,13,,,0,14,5,1,4,pending,
98,0,8,16,9,14,,,18,1,1,10,,,dropped,timeout
99,0,9,1,10,10,11,,,2,11,2,1,1,pending,
100,0,9,3,10,14,,,19,1,8,10,,,dropped,timeout
101,0,9,4,10,10,14,,,0,4,5,1,4,pending,
102,0,9,6,10,10,14,,,4,20,5,1,4,pending,
103,0,9,9,10,10,11,,,0,9,2,1,1,pending,
104,0,9,12,10,17,,,19,3,17,10,,,dropped,timeout
105,0,9,14,10,12,16,,,3,19,7,3,4,pending,
106,0,9,15,10,10,16,,,2,5,7,1,6,pending,
107,0,9,16,10,10,12,,,1,1,3,1,2,pending,
108,0,9,17,10,10,11,,,3,12,2,1,1,pending,
109,0,10,0,11,18,,,20,4,20,10,,,dropped,timeout
110,0,10,1,11,12,13,,,0,1,3,2,1,pending,
111,0,10,4,11,12,14,,,1,9,4,2,2,pending,
112,0,10,5,11,16,,,20,0,5,10,,,dropped,timeout
113,0,10,9,11,11,16,,,0,9,6,1,5,pending,
114,0,10,10,11,15,19,,,2,5,9,5,4,pending,
115,0,10,12,11,19,,,20,3,17,10,,,dropped,timeout
116,0,10,13,11,16,,,20,1,3,10,,,dropped,timeout
117,0,10,16,11,17,,,20,0,16,10,,,dropped,timeout
118,0,10,17,11,11,18,,,4,20,8,1,7,pending,
119,0,11,1,12,14,15,,,0,1,4,3,1,pending,
120,0,11,2,12,12,18,,,0,2,7,1,6,pending,
121,0,11,3,12,12,14,,,4,20,3,1,2,pending,
122,0,11,4,12,13,14,,,0,4,3,2,1,pending,
123,0,11,5,12,20,,,21,2,10,10,,,dropped,timeout
124,0,11,6,12,12,13,,,1,1,2,1,1,pending,
125,0,11,7,12,12,13,,,2,12,2,1,1,pending,
126,0,11,8,12,12,16,,,4,20,5,1,4,pending,
127,0,11,10,12,18,,,21,1,0,10,,,dropped,timeout
128,0,11,11,12,18,,,21,0,11,10,,,dropped,timeout
129,0,11,12,12,20,,,21,2,7,10,,,dropped,timeout
130,0,11,16,12,20,,,21,3,11,10,,,dropped,timeout
131,0,12,1,13,16,17,,,0,1,5,4,1,pending,
132,0,12,4,13,14,17,,,4,20,5,2,3,pending,
133,0,12,5,13,21,,,22,2,10,10,,,dropped,timeout
134,0,12,9,13,14,20,,,3,19,8,2,6,pending,
135,0,12,13,13,20,,,22,0,13,10,,,dropped,timeout
136,0,12,14,13,13,15,,,3,19,3,1,2,pending,
137,0,12,15,13,14,21,,,3,10,9,2,7,pending,
138,0,12,17,13,16,18,,,1,2,6,4,2,pending,
139,0,13,0,14,14,15,,,3,15,2,1,1,pending,
140,0,13,3,14,19,20,,,0,3,7,6,1,pending,
141,0,13,5,14,22,,,23,4,20,10,,,dropped,timeout
142,0,13,6,14,14,15,,,0,6,2,1,1,pending,
143,0,13,7,14,18,,,23,2,12,10,,,dropped,timeout
144,0,13,8,14,15,19,,,0,8,6,2,4,pending,
145,0,13,9,14,18,,,23,3,19,10,,,dropped,timeout
146,0,13,10,14,21,,,23,0,10,10,,,dropped,timeout
147,0,13,12,14,21,,,23,2,7,10,,,dropped,timeout
148,0,13,13,14,22,,,23,2,8,10,,,dropped,timeout
149,0,13,17,14,18,21,,,4,20,8,5,3,pending,
150,0,13,19,14,14,15,,,3,14,2,1,1,pending,
151,0,14,0,15,20,,,24,0,0,10,,,dropped,timeout
152,0,14,2,15,16,23,,,3,17,9,2,7,pending,
153,0,14,5,15,23,,,24,4,20,10,,,dropped,timeout
154,0,14,6,15,15,22,,,4,20,8,1,7,pending,
155,0,14,9,15,23,,,24,3,19,10,,,dropped,timeout
156,0,14,13,15,23,,,24,3,18,10,,,dropped,timeout
157,0,14,14,15,15,16,,,4,20,2,1,1,pending,
158,0,14,18,15,17,23,,,4,20,9,3,6,pending,
159,0,14,19,15,15,19,,,0,19,5,1,4,pending,
160,0,15,0,16,23,24,,,3,15,9,8,1,pending,
161,0,15,2,16,16,18,,,3,17,3,1,2,pending,
162,0,15,3,16,16,18,,,3,18,3,1,2,pending,
163,0,15,4,16,16,24,,,0,4,9,1,8,pending,
164,0,15,5,16,24,,,25,2,10,10,,,dropped,timeout
165,0,15,7,16,22,24,,,0,7,9,7,2,pending,
166,0,15,8,16,18,22,,,3,18,7,3,4,pending,
167,0,15,9,16,24,,,25,2,14,10,,,dropped,timeout
168,0,15,10,16,16,18,,,0,10,3,1,2,pending,
169,0,15,11,16,21,,,25,4,20,10,,,dropped,timeout
170,0,15,12,16,23,,,25,4,20,10,,,dropped,timeout
171,0,15,13,16,24,,,25,3,18,10,,,dropped,timeout
172,0,15,14,16,16,18,,,4,20,3,1,2,pending,
173,0,15,16,16,16,18,,,4,20,3,1,2,pending,
174,0,15,17,16,20,24,,,2,7,9,5,4,pending,
175,0,15,19,16,18,,,25,3,14,10,,,dropped,timeout
176,0,16,1,17,18,19,,,4,20,3,2,1,pending,
177,0,16,3,17,20,24,,,0,3,8,4,4,pending,
178,0,16,4,17,21,,,26,2,14,10,,,dropped,timeout
179,0,16,6,17,20,25,,,1,1,9,4,5,pending,
180,0,16,7,17,24,,,26,4,20,10,,,dropped,timeout
181,0,16,13,17,25,,,26,1,3,10,,,dropped,timeout
182,0,16,14,17,17,24,,,0,14,8,1,7,pending,
183,0,16,15,17,17,19,,,3,10,3,1,2,pending,
184,0,16,16,17,21,23,,,0,16,7,5,2,pending,
185,0,16,18,17,21,,,26,4,20,10,,,dropped,timeout
186,0,17,0,18,24,,,27,2,10,10,,,dropped,timeout
187,0,17,1,18,18,20,,,0,1,3,1,2,pending,
188,0,17,3,18,19,20,,,1,8,3,2,1,pending,
189,0,17,5,18,18,20,,,3,15,3,1,2,pending,
190,0,17,6,18,18,20,,,2,11,3,1,2,pending,
191,0,17,7,18,26,,,27,3,17,10,,,dropped,timeout
192,0,17,10,18,23,,,27,2,5,10,,,dropped,timeout
193,0,17,11,18,25,,,27,1,1,10,,,dropped,timeout
194,0,17,12,18,25,,,27,0,12,10,,,dropped,timeout
195,0,17,13,18,26,,,27,3,18,10,,,dropped,timeout
196,0,17,17,18,23,,,27,3,12,10,,,dropped,timeout
197,0,17,18,18,26,,,27,3,13,10,,,dropped,timeout
198,0,17,19,18,23,,,27,4,20,10,,,dropped,timeout
199,0,18,0,19,19,20,,,1,5,2,1,1,pending,
200,0,18,1,19,20,25,,,4,20,7,2,5,pending,
201,0,18,3,19,23,,,28,0,3,10,,,dropped,timeout
202,0,18,4,19,25,,,28,2,14,10,,,dropped,timeout
203,0,18,5,19,21,23,,,0,5,5,3,2,pending,
204,0,18,7,19,27,,,28,3,17,10,,,dropped,timeout
205,0,18,11,19,27,,,28,3,16,10,,,dropped,timeout
206,0,18,14,19,22,,,28,3,19,10,,,dropped,timeout
207,0,18,15,19,20,22,,,0,15,4,2,2,pending,
208,0,18,16,19,23,25,,,4,20,7,5,2,pending,
209,0,18,19,19,27,,,28,1,4,10,,,dropped,timeout
210,0,19,5,20,25,27,,,0,5,8,6,2,pending,
211,0,19,6,20,21,22,,,1,1,3,2,1,pending,
212,0,19,9,20,25,27,,,4,20,8,6,2,pending,
213,0,19,11,20,28,,,29,4,20,10,,,dropped,timeout
214,0,19,16,20,25,,,29,4,20,10,,,dropped,timeout
215,0,20,0,21,27,,,30,4,20,10,,,dropped,timeout
216,0,20,3,21,28,,,30,1,8,10,,,dropped,timeout
217,0,20,4,21,21,22,,,2,14,2,1,1,pending,
218,0,20,5,21,27,,,30,4,20,10,,,dropped,timeout
219,0,20,7,21,28,,,30,0,7,10,,,dropped,timeout
220,0,20,8,21,21,25,,,2,13,5,1,4,pending,
221,0,20,9,21,21,22,,,4,20,2,1,1,pending,
222,0,20,11,21,21,23,,,2,6,3,1,2,pending,
223,0,20,15,21,21,28,,,4,20,8,1,7,pending,
224,0,20,16,21,29,,,30,3,11,10,,,dropped,timeout
225,0,20,17,21,27,,,30,3,12,10,,,dropped,timeout
226,0,20,19,21,28,,,30,1,4,10,,,dropped,timeout
227,0,21,0,22,30,,,31,2,10,10,,,dropped,timeout
228,0,21,1,22,22,23,,,3,16,2,1,1,pending,
229,0,21,3,22,30,,,31,4,20,10,,,dropped,timeout
230,0,21,4,22,28,,,31,0,4,10,,,dropped,timeout
231,0,21,5,22,30,,,31,3,15,10,,,dropped,timeout
232,0,21,7,22,30,,,31,1,2,10,,,dropped,timeout
233,0,21,8,22,24,,,31,3,18,10,,,dropped,timeout
234,0,21,9,22,23,24,,,0,9,3,2,1,pending,
235,0,21,11,22,29,,,31,0,11,10,,,dropped,timeout
236,0,21,13,22,27,,,31,3,18,10,,,dropped,timeout
237,0,21,18,22,27,,,31,1,3,10,,,dropped,timeout
238,0,22,0,23,31,,,32,1,5,10,,,dropped,timeout
239,0,22,1,23,24,30,,,0,1,8,2,6,pending,
240,0,22,6,23,24,28,,,3,16,6,2,4,pending,
241,0,22,9,23,27,,,32,0,9,10,,,dropped,timeout
242,0,22,10,23,23,24,,,3,15,2,1,1,pending,
243,0,22,11,23,24,26,,,4,20,4,2,2,pending,
244,0,22,12,23,27,31,,,1,2,9,5,4,pending,
245,0,22,14,23,27,30,,,1,4,8,5,3,pending,
246,0,22,15,23,26,,,32,0,15,10,,,dropped,timeout
247,0,22,16,23,23,25,,,0,16,3,1,2,pending,
248,0,22,17,23,30,,,32,2,7,10,,,dropped,timeout
249,0,22,18,23,23,25,,,4,20,3,1,2,pending,
250,0,22,19,23,23,25,,,4,20,3,1,2,pending,
251,0,23,1,24,28,31,,,2,11,8,5,3,pending,
252,0,23,3,24,31,32,,,3,18,9,8,1,pending,
253,0,23,5,24,24,25,,,1,0,2,1,1,pending,
254,0,23,7,24,24,26,,,0,7,3,1,2,pending,
255,0,23,11,24,30,,,33,0,11,10,,,dropped,timeout
256,0,23,13,24,24,26,,,0,13,3,1,2,pending,
257,0,23,16,24,30,,,33,0,16,10,,,dropped,timeout
258,0,23,19,24,29,32,,,0,19,9,6,3,pending,
259,0,24,0,25,32,,,34,3,15,10,,,dropped,timeout
260,0,24,6,25,27,,,34,4,20,10,,,dropped,timeout
261,0,24,10,25,26,33,,,2,5,9,2,7,pending,
262,0,24,11,25,27,28,,,2,6,4,3,1,pending,
263,0,24,14,25,29,33,,,0,14,9,5,4,pending,
264,0,24,15,25,25,27,,,0,15,3,1,2,pending,
265,0,24,16,25,33,,,34,3,11,10,,,dropped,timeout
266,0,24,19,25,26,27,,,4,20,3,2,1,pending,
267,0,25,0,26,34,,,35,2,10,10,,,dropped,timeout
268,0,25,3,26,32,,,35,1,8,10,,,dropped,timeout
269,0,25,4,26,31,,,35,0,4,10,,,dropped,timeout
270,0,25,6,26,32,,,35,2,11,10,,,dropped,timeout
271,0,25,7,26,31,,,35,0,7,10,,,dropped,timeout
272,0,25,11,26,33,,,35,0,11,10,,,dropped,timeout
273,0,25,16,26,34,,,35,1,1,10,,,dropped,timeout
274,0,25,18,26,29,33,,,4,20,8,4,4,pending,
275,0,25,19,26,31,,,35,0,19,10,,,dropped,timeout
276,0,26,0,27,35,,,36,2,10,10,,,dropped,timeout
277,0,26,1,27,30,,,36,1,6,10,,,dropped,timeout
278,0,26,2,27,27,31,,,0,2,5,1,4,pending,
279,0,26,3,27,27,28,,,2,13,2,1,1,pending,
280,0,26,4,27,35,,,36,3,19,10,,,dropped,timeout
281,0,26,6,27,35,,,36,2,11,10,,,dropped,timeout
282,0,26,9,27,32,,,36,3,19,10,,,dropped,timeout
283,0,26,10,27,31,,,36,2,5,10,,,dropped,timeout
284,0,26,12,27,27,28,,,4,20,2,1,1,pending,
285,0,26,14,27,32,,,36,0,14,10,,,dropped,timeout
286,0,26,15,27,31,35,,,3,10,9,5,4,pending,
287,0,26,16,27,35,,,36,2,6,10,,,dropped,timeout
288,0,26,17,27,32,33,,,0,17,7,6,1,pending,
289,0,27,1,28,35,,,37,1,6,10,,,dropped,timeout
290,0,27,3,28,35,,,37,0,3,10,,,dropped,timeout
291,0,27,4,28,28,29,,,1,9,2,1,1,pending,
292,0,27,5,28,31,36,,,2,10,9,4,5,pending,
293,0,27,7,28,35,36,,,0,7,9,8,1,pending,
294,0,27,8,28,28,30,,,1,3,3,1,2,pending,
295,0,27,9,28,36,,,37,1,4,10,,,dropped,timeout
296,0,27,12,28,29,31,,,0,12,4,2,2,pending,
297,0,27,13,28,28,29,,,4,20,2,1,1,pending,
298,0,27,14,28,28,29,,,3,19,2,1,1,pending,
299,0,27,15,28,34,,,37,2,5,10,,,dropped,timeout
300,0,28,2,29,29,36,,,1,7,8,1,7,pending,
301,0,28,3,29,37,,,38,1,8,10,,,dropped,timeout
302,0,28,5,29,29,30,,,3,15,2,1,1,pending,
303,0,28,6,29,36,,,38,3,16,10,,,dropped,timeout
304,0,28,8,29,29,33,,,0,8,5,1,4,pending,
305,0,28,9,29,37,,,38,2,14,10,,,dropped,timeout
306,0,28,13,29,31,35,,,0,13,7,3,4,pending,
307,0,28,16,29,29,30,,,4,20,2,1,1,pending,
308,0,28,18,29,32,,,38,1,3,10,,,dropped,timeout
309,0,29,3,30,38,,,39,4,20,10,,,dropped,timeout
310,0,29,4,30,36,,,39,2,14,10,,,dropped,timeout
311,0,29,5,30,31,33,,,0,5,4,2,2,pending,
312,0,29,7,30,30,32,,,4,20,3,1,2,pending,
313,0,29,10,30,36,,,39,0,10,10,,,dropped,timeout
314,0,29,11,30,35,,,39,1,1,10,,,dropped,timeout
315,0,29,12,30,30,35,,,0,12,6,1,5,pending,
316,0,29,14,30,36,38,,,3,19,9,7,2,pending,
317,0,30,2,31,33,39,,,0,2,9,3,6,pending,
318,0,30,3,31,39,,,40,3,18,10,,,dropped,timeout
319,0,30,4,31,39,,,40,1,9,10,,,dropped,timeout
320,0,30,7,31,36,,,40,0,7,10,,,dropped,timeout
321,0,30,8,31,32,38,,,0,8,8,2,6,pending,
322,0,30,9,31,38,,,40,2,14,10,,,dropped,timeout
323,0,30,11,31,39,,,40,3,16,10,,,dropped,timeout
324,0,30,14,31,38,,,40,4,20,10,,,dropped,timeout
325,0,30,16,31,36,37,,,3,11,7,6,1,pending,
326,0,30,19,31,31,33,,,4,20,3,1,2,pending,
327,0,31,1,32,37,,,41,1,6,10,,,dropped,timeout
328,0,31,3,32,40,,,41,2,13,10,,,dropped,timeout
329,0,31,4,32,40,,,41,4,20,10,,,dropped,timeout
330,0,31,7,32,39,,,41,3,17,10,,,dropped,timeout
331,0,31,9,32,40,,,41,4,20,10,,,dropped,timeout
332,0,31,12,32,33,40,,,1,2,9,2,7,pending,
333,0,31,13,32,34,38,,,1,3,7,3,4,pending,
334,0,31,14,32,40,,,41,3,19,10,,,dropped,timeout
335,0,31,18,32,37,,,41,3,13,10,,,dropped,timeout
336,0,32,0,33,36,40,,,2,10,8,4,4,pending,
337,0,32,2,33,37,,,42,0,2,10,,,dropped,timeout
338,0,32,3,33,41,,,42,1,8,10,,,dropped,timeout
339,0,32,4,33,41,,,42,1,9,10,,,dropped,timeout
340,0,32,6,33,33,35,,,0,6,3,1,2,pending,
341,0,32,9,33,33,35,,,1,4,3,1,2,pending,
342,0,32,11,33,40,,,42,4,20,10,,,dropped,timeout
343,0,32,14,33,41,,,42,4,20,10,,,dropped,timeout
344,0,32,17,33,33,40,,,4,20,8,1,7,pending,
345,0,33,0,34,39,,,43,2,10,10,,,dropped,timeout
346,0,33,1,34,34,36,,,1,6,3,1,2,pending,
347,0,33,2,34,41,,,43,2,12,10,,,dropped,timeout
348,0,33,4,34,42,,,43,1,9,10,,,dropped,timeout
349,0,33,6,34,38,,,43,0,6,10,,,dropped,timeout
350,0,33,11,34,42,,,43,3,16,10,,,dropped,timeout
351,0,33,14,34,34,36,,,1,4,3,1,2,pending,
352,0,33,15,34,37,,,43,1,0,10,,,dropped,timeout
353,0,33,16,34,37,38,,,4,20,5,4,1,pending,
354,0,33,19,34,35,39,,,2,9,6,2,4,pending,
355,0,34,0,35,43,,,44,3,15,10,,,dropped,timeout
356,0,34,2,35,43,,,44,1,7,10,,,dropped,timeout
357,0,34,3,35,42,,,44,4,20,10,,,dropped,timeout
358,0,34,4,35,43,,,44,2,14,10,,,dropped,timeout
359,0,34,5,35,35,42,,,2,10,8,1,7,pending,
360,0,34,6,35,42,,,44,3,16,10,,,dropped,timeout
361,0,34,8,35,36,41,,,3,18,7,2,5,pending,
362,0,34,12,35,38,,,44,1,2,10,,,dropped,timeout
363,0,34,14,35,42,,,44,0,14,10,,,dropped,timeout
364,0,34,15,35,41,,,44,2,5,10,,,dropped,timeout
365,0,34,16,35,38,40,,,4,20,6,4,2,pending,
366,0,34,18,35,35,36,,,2,8,2,1,1,pending,
367,0,34,19,35,38,,,44,1,4,10,,,dropped,timeout
368,0,35,0,36,44,,,45,2,10,10,,,dropped,timeout
369,0,35,2,36,44,,,45,2,12,10,,,dropped,timeout
370,0,35,3,36,44,,,45,2,13,10,,,dropped,timeout
371,0,35,7,36,36,37,,,4,20,2,1,1,pending,
372,0,35,11,36,43,,,45,3,16,10,,,dropped,timeout
373,0,35,12,36,36,37,,,3,17,2,1,1,pending,
