learning_rate,training_episode_approx,average_reward_approx
lr=1e-7,0.1,-35.35
lr=1e-7,199.9,-53.317
lr=1e-7,400.0,-49.276
lr=1e-7,600.1,-46.271
lr=1e-7,800.0,-43.829
lr=1e-7,1000.1,-41.762
lr=1e-7,1199.9,-40.263
lr=1e-7,1400.0,-38.667
lr=1e-7,1600.1,-37.167
lr=1e-7,1800.0,-36.324
lr=1e-7,2000.1,-35.574
lr=1e-7,2199.9,-33.322
lr=1e-7,2400.0,-32.008
lr=1e-7,2600.1,-30.883
lr=1e-7,2799.9,-30.511
lr=1e-7,3000.0,-30.327
lr=1e-7,3199.9,-30.613
lr=1e-7,3400.0,-30.71
lr=1e-7,3600.1,-30.809
lr=1e-7,3799.9,-31.0
lr=1e-7,4000.0,-30.815
lr=1e-7,4199.9,-30.63
lr=1e-7,4400.0,-30.636
lr=1e-7,4600.1,-30.358
lr=1e-7,4799.9,-30.08
lr=1e-7,5000.0,-30.176
lr=1e-8,0.1,-35.725
lr=1e-8,199.9,-61.688
lr=1e-8,400.0,-61.878
lr=1e-8,600.1,-62.165
lr=1e-8,800.0,-62.168
lr=1e-8,1000.1,-62.077
lr=1e-8,1199.9,-61.989
lr=1e-8,1400.0,-62.273
lr=1e-8,1600.1,-61.995
lr=1e-8,1800.0,-61.81
lr=1e-8,2000.1,-61.625
lr=1e-8,2199.9,-61.444
lr=1e-8,2400.0,-61.353
lr=1e-8,2600.1,-60.887
lr=1e-8,2799.9,-60.89
lr=1e-8,3000.0,-60.424
lr=1e-8,3199.9,-60.146
lr=1e-8,3400.0,-59.49
lr=1e-8,3600.1,-59.212
lr=1e-8,3799.9,-58.746
lr=1e-8,4000.0,-58.371
lr=1e-8,4199.9,-57.905
lr=1e-8,4400.0,-56.875
lr=1e-8,4600.1,-56.315
lr=1e-8,4799.9,-55.566
lr=1e-8,5000.0,-54.629
lr=1e-9,0.1,-33.374
lr=1e-9,199.9,-57.454
lr=1e-9,400.0,-57.46
lr=1e-9,600.1,-57.556
lr=1e-9,800.0,-57.653
lr=1e-9,1000.1,-57.565
lr=1e-9,1199.9,-57.474
lr=1e-9,1600.1,-57.48
lr=1e-9,1800.0,-57.579
lr=1e-9,2000.1,-57.675
lr=1e-9,2199.9,-57.491
lr=1e-9,2400.0,-57.497
lr=1e-9,2600.1,-57.499
lr=1e-9,2799.9,-57.409
lr=1e-9,3000.0,-57.414
lr=1e-9,3199.9,-57.604
lr=1e-9,3400.0,-57.514
lr=1e-9,3600.1,-57.426
lr=1e-9,3799.9,-57.428
lr=1e-9,4000.0,-57.338
lr=1e-9,4199.9,-57.247
lr=1e-9,4400.0,-57.44
lr=1e-9,4600.1,-57.161
lr=1e-9,4799.9,-57.258
lr=1e-9,5000.0,-57.258
lr=5e-7,0.1,-34.407
lr=5e-7,199.9,-41.935
lr=5e-7,400.0,-33.004
lr=5e-7,600.1,-28.776
lr=5e-7,800.0,-26.712
lr=5e-7,1000.1,-25.116
lr=5e-7,1199.9,-24.744
lr=5e-7,1400.0,-23.713
lr=5e-7,1600.1,-23.622
lr=5e-7,1800.0,-23.344
lr=5e-7,2000.1,-22.972
lr=5e-7,2199.9,-20.72
lr=5e-7,2400.0,-20.064
lr=5e-7,2600.1,-19.973
lr=5e-7,2799.9,-20.073
lr=5e-7,3000.0,-20.075
lr=5e-7,3199.9,-19.985
lr=5e-7,3400.0,-20.365
lr=5e-7,3600.1,-20.368
lr=5e-7,3799.9,-20.277
lr=5e-7,4000.0,-20.283
lr=5e-7,4199.9,-20.004
lr=5e-7,4400.0,-20.101
lr=5e-7,4600.1,-19.729
lr=5e-7,4799.9,-20.203
lr=5e-7,5000.0,-20.206
lr=5e-9,0.1,-28.955
lr=5e-9,199.9,-47.109
lr=5e-9,600.1,-46.927
lr=5e-9,800.0,-46.746
lr=5e-9,1000.1,-46.183
lr=5e-9,1199.9,-45.811
lr=5e-9,1400.0,-45.533
lr=5e-9,1600.1,-45.067
lr=5e-9,1800.0,-44.599
lr=5e-9,2000.1,-44.133
lr=5e-9,2199.9,-43.386
lr=5e-9,2400.0,-42.449
lr=5e-9,2600.1,-41.606
lr=5e-9,2799.9,-40.575
lr=5e-9,3000.0,-40.013
lr=5e-9,3199.9,-39.172
lr=5e-9,3400.0,-38.423
lr=5e-9,3600.1,-37.957
lr=5e-9,3799.9,-37.207
lr=5e-9,4000.0,-36.648
lr=5e-9,4199.9,-36.276
lr=5e-9,4400.0,-35.713
lr=5e-9,4600.1,-35.341
lr=5e-9,4799.9,-34.498
lr=5e-9,5000.0,-33.845
lr=7e-7,0.1,-32.621
lr=7e-7,199.9,-38.457
lr=7e-7,400.0,-35.546
lr=7e-7,600.1,-30.281
lr=7e-7,800.0,-27.464
lr=7e-7,1000.1,-24.647
lr=7e-7,1199.9,-23.991
lr=7e-7,1400.0,-22.773
lr=7e-7,1600.1,-22.401
lr=7e-7,1800.0,-22.404
lr=7e-7,2000.1,-22.219
lr=7e-7,2199.9,-20.061
lr=7e-7,2400.0,-18.84
lr=7e-7,2600.1,-18.374
lr=7e-7,2799.9,-18.377
lr=7e-7,3000.0,-18.852
lr=7e-7,3199.9,-18.857
lr=7e-7,3600.1,-18.863
lr=7e-7,3799.9,-19.056
lr=7e-7,4000.0,-18.59
lr=7e-7,4199.9,-18.687
lr=7e-7,4400.0,-18.221
lr=7e-7,4600.1,-18.508
lr=7e-7,4799.9,-18.133
lr=7e-7,5000.0,-17.761
