discount_factor,training_episode_approx,average_reward_approx
gamma=0.2,-0.3,-39.688
gamma=0.2,199.8,-43.939
gamma=0.2,399.8,-37.465
gamma=0.2,599.6,-32.827
gamma=0.2,799.7,-31.282
gamma=0.2,999.7,-30.508
gamma=0.2,1399.8,-28.383
gamma=0.2,1599.8,-28.48
gamma=0.2,1799.9,-27.611
gamma=0.2,1999.9,-27.224
gamma=0.2,2199.7,-25.194
gamma=0.2,2399.8,-24.808
gamma=0.2,2799.8,-23.842
gamma=0.2,2999.9,-22.876
gamma=0.2,3399.7,-22.876
gamma=0.2,3599.8,-22.971
gamma=0.2,3799.8,-22.876
gamma=0.2,3999.8,-22.586
gamma=0.2,4199.9,-22.586
gamma=0.2,4399.9,-22.393
gamma=0.2,4600.0,-22.971
gamma=0.2,4799.8,-23.358
gamma=0.2,4999.8,-23.358
gamma=0.4,-0.3,-37.08
gamma=0.4,199.8,-43.069
gamma=0.4,399.8,-32.731
gamma=0.4,599.6,-29.93
gamma=0.4,799.7,-29.832
gamma=0.4,999.7,-29.252
gamma=0.4,1199.7,-27.707
gamma=0.4,1399.8,-26.837
gamma=0.4,1599.8,-26.161
gamma=0.4,1799.9,-25.581
gamma=0.4,1999.9,-25.581
gamma=0.4,2199.7,-24.034
gamma=0.4,2399.8,-24.034
gamma=0.4,2599.8,-23.456
gamma=0.4,2799.8,-23.069
gamma=0.4,2999.9,-22.295
gamma=0.4,3199.9,-22.102
gamma=0.4,3399.7,-22.393
gamma=0.4,3599.8,-22.489
gamma=0.4,3799.8,-22.586
gamma=0.4,3999.8,-22.102
gamma=0.4,4199.9,-22.102
gamma=0.4,4600.0,-21.715
gamma=0.4,4799.8,-21.813
gamma=0.4,4999.8,-21.909
gamma=0.6,-0.3,-31.186
gamma=0.6,199.8,-39.398
gamma=0.6,399.8,-34.276
gamma=0.6,599.6,-31.475
gamma=0.6,799.7,-29.156
gamma=0.6,999.7,-27.417
gamma=0.6,1199.7,-26.355
gamma=0.6,1399.8,-25.968
gamma=0.6,1599.8,-25.292
gamma=0.6,1799.9,-25.001
gamma=0.6,1999.9,-24.808
gamma=0.6,2199.7,-23.456
gamma=0.6,2399.8,-22.876
gamma=0.6,2599.8,-22.586
gamma=0.6,2799.8,-22.102
gamma=0.6,2999.9,-22.006
gamma=0.6,3199.9,-21.524
gamma=0.6,3399.7,-21.715
gamma=0.6,3599.8,-21.813
gamma=0.6,3799.8,-22.006
gamma=0.6,3999.8,-21.715
gamma=0.6,4199.9,-21.619
gamma=0.6,4399.9,-21.328
gamma=0.6,4600.0,-21.715
gamma=0.6,4799.8,-21.426
gamma=0.6,4999.8,-21.233
gamma=0.8,-0.3,-33.698
gamma=0.8,199.8,-36.789
gamma=0.8,399.8,-29.832
gamma=0.8,599.6,-26.064
gamma=0.8,799.7,-25.581
gamma=0.8,999.7,-24.325
gamma=0.8,1199.7,-23.358
gamma=0.8,1399.8,-23.649
gamma=0.8,1599.8,-23.069
gamma=0.8,1799.9,-22.876
gamma=0.8,1999.9,-22.489
gamma=0.8,2199.7,-21.328
gamma=0.8,2399.8,-20.75
gamma=0.8,2599.8,-20.943
gamma=0.8,2799.8,-20.459
gamma=0.8,2999.9,-19.783
gamma=0.8,3199.9,-19.881
gamma=0.8,3399.7,-20.17
gamma=0.8,3599.8,-19.977
gamma=0.8,3799.8,-19.881
gamma=0.8,3999.8,-19.977
gamma=0.8,4199.9,-19.783
gamma=0.8,4399.9,-19.881
gamma=0.8,4600.0,-20.266
gamma=0.8,4799.8,-20.17
gamma=0.8,4999.8,-20.266
gamma=0.99,-0.3,-32.634
gamma=0.99,199.8,-38.432
gamma=0.99,399.8,-35.437
gamma=0.99,599.6,-30.508
gamma=0.99,799.7,-27.611
gamma=0.99,999.7,-24.808
gamma=0.99,1199.7,-24.132
gamma=0.99,1399.8,-22.78
gamma=0.99,1599.8,-22.006
gamma=0.99,1799.9,-21.619
gamma=0.99,1999.9,-21.137
gamma=0.99,2199.7,-20.074
gamma=0.99,2399.8,-18.818
gamma=0.99,2599.8,-18.527
gamma=0.99,2799.8,-18.527
gamma=0.99,2999.9,-18.044
gamma=0.99,3199.9,-18.238
gamma=0.99,3399.7,-17.755
gamma=0.99,3599.8,-17.658
gamma=0.99,3799.8,-17.851
gamma=0.99,3999.8,-17.464
gamma=0.99,4199.9,-17.464
gamma=0.99,4399.9,-17.562
gamma=0.99,4600.0,-17.562
gamma=0.99,4799.8,-17.464
gamma=0.99,4999.8,-17.464
