method,x,y_approx
BCO,0.1,-0.1708
BCO,0.3,-1.0694
BCO,0.5,-2.9023
BCO,0.7,-4.7038
BCO,0.9,-6.2562
FLC,0.1,-0.1708
FLC,0.3,-0.4627
FLC,0.5,-2.3418
FLC,0.7,-5.3886
FLC,0.9,-8.2019
HO,0.1,-0.3576
HO,0.3,-2.2367
HO,0.5,-4.6298
HO,0.7,-6.8829
HO,0.9,-8.8864
HOODIE,0.1,-0.0461
HOODIE,0.3,-0.2448
HOODIE,0.5,-0.5988
HOODIE,0.7,-1.98
HOODIE,0.9,-3.9061
MLEO,0.1,-0.1708
MLEO,0.3,-0.3691
MLEO,0.5,-1.1745
MLEO,0.7,-2.7584
MLEO,0.9,-4.871
RO,0.1,-0.2018
RO,0.3,-1.1631
RO,0.5,-3.0111
RO,0.7,-5.0149
RO,0.9,-6.8789
VO,0.1,-0.1863
VO,0.3,-2.626
VO,0.5,-4.8321
VO,0.7,-6.7738
VO,0.9,-8.5286
