method,x,y_approx
BCO,3,-2.9043
BCO,4,-2.8982
BCO,5,-2.8519
BCO,6,-2.7896
BCO,7,-2.7997
FLC,3,-4.0447
FLC,4,-3.2113
FLC,5,-2.3058
FLC,6,-1.7697
FLC,7,-0.9765
HO,3,-4.6953
HO,4,-4.7135
HO,5,-4.6593
HO,6,-4.7173
HO,7,-4.7114
HOODIE,3,-1.5228
HOODIE,4,-0.9865
HOODIE,5,-0.6592
HOODIE,6,-0.4604
HOODIE,7,-0.342
MLEO,3,-2.1571
MLEO,4,-1.5647
MLEO,5,-1.1652
MLEO,6,-0.9744
MLEO,7,-0.6633
RO,3,-3.1129
RO,4,-3.0587
RO,5,-3.0286
RO,6,-3.0066
RO,7,-3.0086
VO,3,-4.864
VO,4,-4.8258
VO,5,-4.8359
VO,6,-4.87
VO,7,-4.872
