method,x,y_approx
BCO,9.6,-2.5389
BCO,9.8,-2.3791
BCO,10.0,-2.284
BCO,10.2,-2.2779
BCO,10.4,-2.2475
FLC,9.6,-3.9034
FLC,9.8,-3.7759
FLC,10.0,-3.6402
FLC,10.2,-3.6098
FLC,10.4,-3.5713
HO,9.6,-4.9033
HO,9.8,-4.7758
HO,10.0,-4.6402
HO,10.2,-4.6099
HO,10.4,-4.5714
HOODIE,9.6,-1.0087
HOODIE,9.8,-0.8487
HOODIE,10.0,-0.6646
HOODIE,10.2,-0.5614
HOODIE,10.4,-0.539
MLEO,9.6,-1.6726
MLEO,9.8,-1.4804
MLEO,10.0,-1.1665
MLEO,10.2,-1.0148
MLEO,10.4,-0.8953
RO,9.6,-3.3973
RO,9.8,-3.2051
RO,10.0,-3.0127
RO,10.2,-2.9255
RO,10.4,-2.8223
VO,9.6,-4.8061
VO,9.8,-4.865
VO,10.0,-4.8265
VO,10.2,-4.8609
VO,10.4,-4.8385
