method,x,y_approx
BCO,0.1,0.0252
BCO,0.3,0.1342
BCO,0.5,0.2568
BCO,0.7,0.3288
BCO,0.9,0.3378
FLC,0.1,0.0162
FLC,0.3,0.0153
FLC,0.5,0.1694
FLC,0.7,0.3469
FLC,0.9,0.4423
HO,0.1,0.0865
HO,0.3,0.3388
HO,0.5,0.4577
HO,0.7,0.4883
HO,0.9,0.4847
HOODIE,0.1,0.0
HOODIE,0.3,0.0018
HOODIE,0.5,0.0171
HOODIE,0.7,0.0919
HOODIE,0.9,0.1937
MLEO,0.1,0.0045
MLEO,0.3,0.0099
MLEO,0.5,0.0631
MLEO,0.7,0.1532
MLEO,0.9,0.2333
RO,0.1,0.0315
RO,0.3,0.1406
RO,0.5,0.2658
RO,0.7,0.3388
RO,0.9,0.3694
VO,0.1,0.0063
VO,0.3,0.4144
VO,0.5,0.4775
VO,0.7,0.4811
VO,0.9,0.4703
