method,x,y_approx
BCO,1.6,0.2219
BCO,1.8,0.1888
BCO,2.0,0.166
BCO,2.2,0.1518
BCO,2.4,0.1307
FLC,1.6,0.3244
FLC,1.8,0.2972
FLC,2.0,0.2693
FLC,2.2,0.2482
FLC,2.4,0.2228
HO,1.6,0.4862
HO,1.8,0.4728
HO,2.0,0.456
HO,2.2,0.441
HO,2.4,0.4268
HOODIE,1.6,0.0713
HOODIE,1.8,0.0348
HOODIE,2.0,0.0128
HOODIE,2.2,0.0029
HOODIE,2.4,0.0008
MLEO,1.6,0.1368
MLEO,1.8,0.1079
MLEO,2.0,0.0636
MLEO,2.2,0.0391
MLEO,2.4,0.0154
RO,1.6,0.3071
RO,1.8,0.2774
RO,2.0,0.2538
RO,2.2,0.2258
RO,2.4,0.197
VO,1.6,0.4793
VO,1.8,0.4823
VO,2.0,0.4758
VO,2.2,0.478
VO,2.4,0.4758
