variant,training_episode_approx,average_delay_approx_sec
With LSTM,-0.1,-1.2724
With LSTM,130.3,-1.3935
With LSTM,260.8,-1.2708
With LSTM,391.2,-1.1706
With LSTM,521.6,-1.0688
With LSTM,652.1,-0.9735
With LSTM,782.6,-0.8798
With LSTM,913.0,-0.8071
With LSTM,1043.4,-0.7425
With LSTM,1173.9,-0.6682
With LSTM,1304.3,-0.5971
With LSTM,1434.7,-0.5228
With LSTM,1565.2,-0.4792
With LSTM,1695.6,-0.4533
With LSTM,1826.0,-0.4339
With LSTM,1956.5,-0.4162
With LSTM,2086.9,-0.3968
With LSTM,2217.3,-0.3822
With LSTM,2347.8,-0.3838
With LSTM,2478.2,-0.3726
With LSTM,2608.7,-0.3806
With LSTM,2739.1,-0.3758
With LSTM,3000.0,-0.3758
Without LSTM,-0.1,-1.064
Without LSTM,130.3,-1.3047
Without LSTM,260.8,-1.1884
Without LSTM,391.2,-1.0737
Without LSTM,521.6,-0.9541
Without LSTM,652.1,-0.8604
Without LSTM,782.6,-0.7877
Without LSTM,913.0,-0.7021
Without LSTM,1043.4,-0.6343
Without LSTM,1173.9,-0.5906
Without LSTM,1304.3,-0.5147
Without LSTM,1434.7,-0.4953
Without LSTM,1565.2,-0.4792
Without LSTM,1695.6,-0.4695
Without LSTM,1826.0,-0.4614
Without LSTM,1956.5,-0.4533
Without LSTM,2086.9,-0.4469
Without LSTM,2217.3,-0.4566
Without LSTM,2347.8,-0.4452
Without LSTM,2478.2,-0.4566
Without LSTM,2608.7,-0.4533
Without LSTM,2739.1,-0.4501
Without LSTM,2869.6,-0.4533
Without LSTM,3000.0,-0.4545
