base_panel,metric,arrival_probability,hoodie_digitized_target_approx,cpu_capacity_ghz,timeout_sec
10a,average_delay_negative_sec,0.1,-0.0461,,
10a,average_delay_negative_sec,0.3,-0.2448,,
10a,average_delay_negative_sec,0.5,-0.5988,,
10a,average_delay_negative_sec,0.7,-1.98,,
10a,average_delay_negative_sec,0.9,-3.9061,,
10b,average_delay_negative_sec,,-1.5228,3.0,
10b,average_delay_negative_sec,,-0.9865,4.0,
10b,average_delay_negative_sec,,-0.6592,5.0,
10b,average_delay_negative_sec,,-0.4604,6.0,
10b,average_delay_negative_sec,,-0.342,7.0,
10c,average_delay_negative_sec,,-1.0087,,9.6
10c,average_delay_negative_sec,,-0.8487,,9.8
10c,average_delay_negative_sec,,-0.6646,,10.0
10c,average_delay_negative_sec,,-0.5614,,10.2
10c,average_delay_negative_sec,,-0.539,,10.4
10d,drop_ratio,0.1,0.0,,
10d,drop_ratio,0.3,0.0018,,
10d,drop_ratio,0.5,0.0171,,
10d,drop_ratio,0.7,0.0919,,
10d,drop_ratio,0.9,0.1937,,
10e,drop_ratio,,0.095,3.0,
10e,drop_ratio,,0.0418,4.0,
10e,drop_ratio,,0.0107,5.0,
10e,drop_ratio,,0.0036,6.0,
10e,drop_ratio,,0.0,7.0,
10f,drop_ratio,,0.0713,,1.6
10f,drop_ratio,,0.0348,,1.8
10f,drop_ratio,,0.0128,,2.0
10f,drop_ratio,,0.0029,,2.2
10f,drop_ratio,,0.0008,,2.4
