task_id,episode_id,arrival_time,source_node,queue_enter_time,service_start_time,service_end_time,completion_time,drop_time,selected_action,processing_node,latency,waiting_time,service_time,final_status,drop_reason
2,0,0,0,,,,,,,,,,,pending,
3,0,0,1,,,,,,,,,,,pending,
4,0,0,3,,,,,,,,,,,pending,
5,0,0,6,,,,,,,,,,,pending,
6,0,0,7,,,,,,,,,,,pending,
7,0,0,8,,,,,,,,,,,pending,
8,0,0,9,,,,,,,,,,,pending,
9,0,0,11,,,,,,,,,,,pending,
10,0,0,16,,,,,,,,,,,pending,
11,0,0,18,,,,,,,,,,,pending,
12,0,0,19,,,,,,,,,,,pending,
13,0,0,0,1,1,8,,,,-1,8,1,7,pending,
14,0,0,2,1,1,2,,,,-1,2,1,1,pending,
15,0,0,3,1,1,7,,,,-1,7,1,6,pending,
16,0,0,5,1,1,2,,,,-1,2,1,1,pending,
17,0,0,6,1,1,2,,,,-1,2,1,1,pending,
18,0,0,7,1,1,3,,,,-1,3,1,2,pending,
19,0,0,8,1,1,6,,,,-1,6,1,5,pending,
20,0,0,9,1,1,7,,,,-1,7,1,6,pending,
21,0,0,13,1,1,3,,,,-1,3,1,2,pending,
22,0,0,15,1,1,7,,,,-1,7,1,6,pending,
23,0,0,17,1,1,8,,,,-1,8,1,7,pending,
24,0,1,0,2,6,,,11,2,10,10,,,dropped,timeout
25,0,1,1,2,2,4,,,2,11,3,1,2,pending,
26,0,1,3,2,2,3,,,3,18,2,1,1,pending,
27,0,1,6,2,2,6,,,0,6,5,1,4,pending,
28,0,1,7,2,3,8,,,4,20,7,2,5,pending,
29,0,1,8,2,5,9,,,1,3,8,4,4,pending,
30,0,1,12,2,2,7,,,4,20,6,1,5,pending,
31,0,1,14,2,2,4,,,4,20,3,1,2,pending,
32,0,1,18,2,2,9,,,3,13,8,1,7,pending,
33,0,1,19,2,2,8,,,3,14,7,1,6,pending,
34,0,2,0,3,10,,,12,2,10,10,,,dropped,timeout
35,0,2,1,3,5,6,,,0,1,4,3,1,pending,
36,0,2,3,3,5,6,,,0,3,4,3,1,pending,
37,0,2,8,3,3,4,,,3,18,2,1,1,pending,
38,0,2,10,3,3,4,,,1,0,2,1,1,pending,
39,0,2,11,3,3,10,,,1,1,8,1,7,pending,
40,0,2,12,3,6,8,,,3,17,6,4,2,pending,
41,0,2,13,3,3,4,,,2,8,2,1,1,pending,
42,0,2,15,3,5,6,,,3,10,4,3,1,pending,
43,0,2,19,3,6,,,12,1,4,10,,,dropped,timeout
44,0,3,0,4,4,6,,,1,5,3,1,2,pending,
45,0,3,4,4,4,5,,,1,9,2,1,1,pending,
46,0,3,5,4,4,6,,,2,10,3,1,2,pending,
47,0,3,6,4,5,11,,,0,6,8,2,6,pending,
48,0,3,8,4,8,12,,,0,8,9,5,4,pending,
49,0,3,14,4,5,6,,,4,20,3,2,1,pending,
50,0,3,15,4,6,11,,,4,20,8,3,5,pending,
51,0,4,0,5,12,,,14,0,0,10,,,dropped,timeout
52,0,4,2,5,5,12,,,2,12,8,1,7,pending,
53,0,4,4,5,5,9,,,0,4,5,1,4,pending,
54,0,4,5,5,7,9,,,0,5,5,3,2,pending,
55,0,4,6,5,9,,,14,3,16,10,,,dropped,timeout
56,0,4,8,5,11,,,14,3,18,10,,,dropped,timeout
57,0,4,9,5,5,12,,,2,14,8,1,7,pending,
58,0,4,12,5,8,,,14,4,20,10,,,dropped,timeout
59,0,4,14,5,7,9,,,0,14,5,3,2,pending,
60,0,4,15,5,9,,,14,3,10,10,,,dropped,timeout
61,0,4,16,5,5,7,,,4,20,3,1,2,pending,
62,0,4,18,5,5,7,,,0,18,3,1,2,pending,
63,0,5,6,6,13,14,,,1,1,9,8,1,pending,
64,0,5,7,6,6,12,,,2,12,7,1,6,pending,
65,0,5,10,6,6,13,,,2,5,8,1,7,pending,
66,0,5,11,6,8,,,15,1,1,10,,,dropped,timeout
67,0,5,12,6,12,,,15,2,7,10,,,dropped,timeout
68,0,5,13,6,6,10,,,3,18,5,1,4,pending,
69,0,5,15,6,13,,,15,1,0,10,,,dropped,timeout
70,0,5,16,6,6,,,15,0,16,10,,,dropped,timeout
71,0,5,17,6,6,7,,,3,12,2,1,1,pending,
72,0,5,18,6,7,11,,,0,18,6,2,4,pending,
73,0,6,1,7,7,9,,,3,16,3,1,2,pending,
74,0,6,5,7,7,11,,,1,0,5,1,4,pending,
75,0,6,6,7,14,,,16,4,20,10,,,dropped,timeout
76,0,6,7,7,10,,,16,1,2,10,,,dropped,timeout
77,0,6,8,7,7,8,,,1,3,2,1,1,pending,
78,0,6,10,7,11,,,16,3,15,10,,,dropped,timeout
79,0,6,11,7,7,9,,,1,1,3,1,2,pending,
80,0,6,13,7,9,13,,,1,3,7,3,4,pending,
81,0,6,14,7,10,11,,,1,4,5,4,1,pending,
82,0,6,17,7,7,14,,,0,17,8,1,7,pending,
83,0,7,0,8,14,,,17,2,10,10,,,dropped,timeout
84,0,7,1,8,8,14,,,0,1,7,1,6,pending,
85,0,7,2,8,10,16,,,4,20,9,3,6,pending,
86,0,7,4,8,8,15,,,4,20,8,1,7,pending,
87,0,7,5,8,10,15,,,1,0,8,3,5,pending,
88,0,7,6,8,16,,,17,3,16,10,,,dropped,timeout
89,0,7,7,8,8,10,,,1,2,3,1,2,pending,
90,0,7,8,8,9,11,,,0,8,4,2,2,pending,
91,0,7,10,8,8,9,,,3,15,2,1,1,pending,
92,0,7,11,8,12,13,,,0,11,6,5,1,pending,
93,0,7,13,8,12,16,,,1,3,9,5,4,pending,
94,0,7,14,8,8,14,,,0,14,7,1,6,pending,
95,0,7,15,8,15,,,17,2,5,10,,,dropped,timeout
96,0,7,16,8,8,9,,,1,1,2,1,1,pending,
97,0,7,17,8,11,12,,,1,2,5,4,1,pending,
98,0,8,4,9,13,17,,,2,14,9,5,4,pending,
99,0,8,7,9,14,17,,,0,7,9,6,3,pending,
100,0,8,8,9,14,17,,,0,8,9,6,3,pending,
101,0,8,9,9,9,11,,,2,14,3,1,2,pending,
102,0,8,10,9,15,16,,,0,10,8,7,1,pending,
103,0,8,11,9,13,17,,,4,20,9,5,4,pending,
104,0,8,14,9,12,17,,,1,4,9,4,5,pending,
105,0,8,16,9,11,17,,,0,16,9,3,6,pending,
106,0,8,17,9,12,,,18,4,20,10,,,dropped,timeout
107,0,8,19,9,10,,,18,4,20,10,,,dropped,timeout
108,0,9,0,10,17,,,19,4,20,10,,,dropped,timeout
109,0,9,2,10,10,12,,,1,7,3,1,2,pending,
110,0,9,3,10,10,12,,,4,20,3,1,2,pending,
111,0,9,6,10,17,,,19,2,11,10,,,dropped,timeout
112,0,9,7,10,16,,,19,4,20,10,,,dropped,timeout
113,0,9,8,10,16,,,19,4,20,10,,,dropped,timeout
114,0,9,12,10,10,12,,,2,7,3,1,2,pending,
115,0,9,14,10,15,,,19,2,9,10,,,dropped,timeout
116,0,9,15,10,17,,,19,1,0,10,,,dropped,timeout
117,0,9,18,10,10,12,,,2,8,3,1,2,pending,
118,0,9,19,10,15,,,19,2,9,10,,,dropped,timeout
119,0,10,0,11,19,,,20,2,10,10,,,dropped,timeout
120,0,10,1,11,12,18,,,0,1,8,2,6,pending,
121,0,10,4,11,16,,,20,2,14,10,,,dropped,timeout
122,0,10,6,11,19,,,20,4,20,10,,,dropped,timeout
123,0,10,7,11,19,,,20,3,17,10,,,dropped,timeout
124,0,10,8,11,19,,,20,3,18,10,,,dropped,timeout
125,0,10,13,11,15,18,,,0,13,8,5,3,pending,
126,0,11,0,12,20,,,21,1,5,10,,,dropped,timeout
127,0,11,1,12,16,,,21,2,11,10,,,dropped,timeout
128,0,11,8,12,12,14,,,1,3,3,1,2,pending,
129,0,11,10,12,16,,,21,1,0,10,,,dropped,timeout
130,0,11,17,12,17,19,,,0,17,8,6,2,pending,
131,0,11,19,12,19,,,21,3,14,10,,,dropped,timeout
132,0,12,2,13,14,,,22,3,17,10,,,dropped,timeout
133,0,12,4,13,13,14,,,2,14,2,1,1,pending,
134,0,12,6,13,20,,,22,0,6,10,,,dropped,timeout
135,0,12,8,13,20,,,22,0,8,10,,,dropped,timeout
136,0,12,9,13,13,15,,,2,14,3,1,2,pending,
137,0,12,10,13,21,,,22,3,15,10,,,dropped,timeout
138,0,12,13,13,17,,,22,1,3,10,,,dropped,timeout
139,0,12,15,13,13,15,,,2,5,3,1,2,pending,
140,0,12,16,13,15,18,,,0,16,6,3,3,pending,
141,0,12,18,13,13,19,,,1,3,7,1,6,pending,
142,0,13,1,14,21,,,23,1,6,10,,,dropped,timeout
143,0,13,2,14,19,,,23,1,7,10,,,dropped,timeout
144,0,13,5,14,14,21,,,4,20,8,1,7,pending,
145,0,13,6,14,22,,,23,2,11,10,,,dropped,timeout
146,0,13,7,14,20,,,23,3,17,10,,,dropped,timeout
147,0,13,9,14,14,15,,,4,20,2,1,1,pending,
148,0,13,15,14,19,,,23,0,15,10,,,dropped,timeout
149,0,13,17,14,19,,,23,0,17,10,,,dropped,timeout
150,0,14,5,15,19,23,,,1,0,9,5,4,pending,
151,0,14,6,15,15,16,,,1,1,2,1,1,pending,
152,0,14,8,15,15,16,,,4,20,2,1,1,pending,
153,0,14,12,15,15,23,,,0,12,9,1,8,pending,
154,0,14,13,15,21,,,24,3,18,10,,,dropped,timeout
155,0,14,14,15,15,17,,,1,4,3,1,2,pending,
156,0,14,16,15,17,19,,,3,11,5,3,2,pending,
157,0,15,2,16,22,,,25,3,17,10,,,dropped,timeout
158,0,15,3,16,16,20,,,0,3,5,1,4,pending,
159,0,15,4,16,20,22,,,0,4,7,5,2,pending,
160,0,15,7,16,23,,,25,2,12,10,,,dropped,timeout
161,0,15,17,16,23,,,25,0,17,10,,,dropped,timeout
162,0,15,19,16,21,,,25,4,20,10,,,dropped,timeout
163,0,16,1,17,23,,,26,1,6,10,,,dropped,timeout
164,0,16,2,17,17,19,,,1,7,3,1,2,pending,
165,0,16,3,17,19,23,,,3,18,7,3,4,pending,
166,0,16,4,17,22,,,26,4,20,10,,,dropped,timeout
167,0,16,5,17,22,24,,,3,15,8,6,2,pending,
168,0,16,6,17,23,,,26,3,16,10,,,dropped,timeout
169,0,16,12,17,20,24,,,2,7,8,4,4,pending,
170,0,16,14,17,18,20,,,3,19,4,2,2,pending,
171,0,16,17,17,25,,,26,3,12,10,,,dropped,timeout
172,0,16,18,17,17,24,,,4,20,8,1,7,pending,
173,0,16,19,17,25,,,26,2,9,10,,,dropped,timeout
174,0,17,1,18,26,,,27,2,11,10,,,dropped,timeout
175,0,17,4,18,26,,,27,2,14,10,,,dropped,timeout
176,0,17,5,18,24,,,27,4,20,10,,,dropped,timeout
177,0,17,6,18,26,,,27,3,16,10,,,dropped,timeout
178,0,17,10,18,18,19,,,0,10,2,1,1,pending,
179,0,17,11,18,18,25,,,1,1,8,1,7,pending,
180,0,17,13,18,24,,,27,3,18,10,,,dropped,timeout
181,0,17,14,18,21,23,,,0,14,6,4,2,pending,
182,0,17,15,18,22,,,27,3,10,10,,,dropped,timeout
183,0,17,18,18,22,,,27,3,13,10,,,dropped,timeout
184,0,17,19,18,26,,,27,1,4,10,,,dropped,timeout
185,0,18,1,19,27,,,28,2,11,10,,,dropped,timeout
186,0,18,2,19,25,,,28,1,7,10,,,dropped,timeout
187,0,18,4,19,27,,,28,2,14,10,,,dropped,timeout
188,0,18,5,19,27,,,28,1,0,10,,,dropped,timeout
189,0,18,6,19,27,,,28,4,20,10,,,dropped,timeout
190,0,18,10,19,22,26,,,0,10,8,4,4,pending,
191,0,18,11,19,23,,,28,1,1,10,,,dropped,timeout
192,0,18,16,19,19,23,,,0,16,5,1,4,pending,
193,0,18,18,19,27,,,28,3,13,10,,,dropped,timeout
194,0,18,19,19,27,,,28,3,14,10,,,dropped,timeout
195,0,19,2,20,28,,,29,3,17,10,,,dropped,timeout
196,0,19,4,20,28,,,29,3,19,10,,,dropped,timeout
197,0,19,5,20,20,21,,,4,20,2,1,1,pending,
198,0,19,7,20,25,,,29,1,2,10,,,dropped,timeout
199,0,19,10,20,20,21,,,3,15,2,1,1,pending,
200,0,19,12,20,23,25,,,0,12,6,4,2,pending,
201,0,19,13,20,27,,,29,3,18,10,,,dropped,timeout
202,0,19,14,20,20,22,,,0,14,3,1,2,pending,
203,0,19,17,20,26,,,29,0,17,10,,,dropped,timeout
204,0,19,19,20,28,,,29,2,9,10,,,dropped,timeout
205,0,20,1,21,28,,,30,2,11,10,,,dropped,timeout
206,0,20,2,21,29,,,30,3,17,10,,,dropped,timeout
207,0,20,5,21,28,,,30,0,5,10,,,dropped,timeout
208,0,20,6,21,21,23,,,3,16,3,1,2,pending,
209,0,20,8,21,22,29,,,2,13,9,2,7,pending,
210,0,20,9,21,21,25,,,3,19,5,1,4,pending,
211,0,20,12,21,25,,,30,4,20,10,,,dropped,timeout
212,0,21,0,22,22,27,,,1,5,6,1,5,pending,
213,0,21,1,22,22,23,,,1,6,2,1,1,pending,
214,0,21,3,22,22,23,,,4,20,2,1,1,pending,
215,0,21,5,22,22,24,,,3,15,3,1,2,pending,
216,0,21,7,22,28,,,31,1,2,10,,,dropped,timeout
217,0,21,8,22,27,,,31,1,3,10,,,dropped,timeout
218,0,21,9,22,22,24,,,3,19,3,1,2,pending,
219,0,21,10,22,25,,,31,0,10,10,,,dropped,timeout
220,0,21,11,22,28,,,31,3,16,10,,,dropped,timeout
221,0,21,12,22,30,,,31,2,7,10,,,dropped,timeout
222,0,21,17,22,29,,,31,1,2,10,,,dropped,timeout
223,0,21,19,22,22,23,,,1,4,2,1,1,pending,
224,0,22,3,23,23,24,,,4,20,2,1,1,pending,
225,0,22,8,23,30,,,32,1,3,10,,,dropped,timeout
226,0,22,12,23,31,,,32,4,20,10,,,dropped,timeout
227,0,22,15,23,27,,,32,2,5,10,,,dropped,timeout
228,0,22,16,23,23,30,,,1,1,8,1,7,pending,
229,0,22,18,23,28,,,32,1,3,10,,,dropped,timeout
230,0,22,19,23,29,30,,,0,19,8,7,1,pending,
231,0,23,0,24,26,30,,,1,5,7,3,4,pending,
232,0,23,2,24,30,,,33,4,20,10,,,dropped,timeout
233,0,23,6,24,28,32,,,1,1,9,5,4,pending,
234,0,23,8,24,32,,,33,3,18,10,,,dropped,timeout
235,0,23,9,24,24,28,,,0,9,5,1,4,pending,
236,0,23,10,24,30,,,33,1,0,10,,,dropped,timeout
237,0,23,13,24,29,,,33,2,8,10,,,dropped,timeout
238,0,23,17,24,31,,,33,0,17,10,,,dropped,timeout
239,0,23,18,24,32,,,33,2,8,10,,,dropped,timeout
240,0,23,19,24,30,,,33,4,20,10,,,dropped,timeout
241,0,24,0,25,29,,,34,2,10,10,,,dropped,timeout
242,0,24,2,25,25,26,,,4,20,2,1,1,pending,
243,0,24,3,25,25,32,,,4,20,8,1,7,pending,
244,0,24,6,25,31,,,34,2,11,10,,,dropped,timeout
245,0,24,7,25,31,,,34,0,7,10,,,dropped,timeout
246,0,24,8,25,33,,,34,4,20,10,,,dropped,timeout
247,0,24,9,25,27,31,,,2,14,7,3,4,pending,
248,0,24,11,25,30,31,,,0,11,7,6,1,pending,
249,0,24,15,25,32,,,34,0,15,10,,,dropped,timeout
250,0,24,16,25,28,,,34,4,20,10,,,dropped,timeout
251,0,24,17,25,25,27,,,3,12,3,1,2,pending,
252,0,25,1,26,30,33,,,3,16,8,5,3,pending,
253,0,25,2,26,32,,,35,0,2,10,,,dropped,timeout
254,0,25,4,26,29,,,35,4,20,10,,,dropped,timeout
255,0,25,8,26,34,,,35,2,13,10,,,dropped,timeout
256,0,25,9,26,30,,,35,1,4,10,,,dropped,timeout
257,0,25,10,26,33,,,35,0,10,10,,,dropped,timeout
258,0,25,11,26,31,32,,,4,20,7,6,1,pending,
259,0,25,14,26,26,28,,,1,4,3,1,2,pending,
260,0,25,16,26,33,,,35,2,6,10,,,dropped,timeout
261,0,25,17,26,28,30,,,0,17,5,3,2,pending,
262,0,25,18,26,33,,,35,1,3,10,,,dropped,timeout
263,0,26,2,27,35,,,36,2,12,10,,,dropped,timeout
264,0,26,4,27,27,28,,,1,9,2,1,1,pending,
265,0,26,7,27,27,28,,,3,17,2,1,1,pending,
266,0,26,9,27,27,28,,,2,14,2,1,1,pending,
267,0,26,12,27,32,,,36,4,20,10,,,dropped,timeout
268,0,26,15,27,34,,,36,0,15,10,,,dropped,timeout
269,0,26,16,27,27,29,,,2,6,3,1,2,pending,
270,0,26,17,27,31,32,,,0,17,6,5,1,pending,
271,0,26,18,27,35,,,36,1,3,10,,,dropped,timeout
272,0,26,19,27,33,,,36,2,9,10,,,dropped,timeout
273,0,27,0,28,33,,,37,1,5,10,,,dropped,timeout
274,0,27,2,28,36,,,37,1,7,10,,,dropped,timeout
275,0,27,4,28,33,,,37,0,4,10,,,dropped,timeout
276,0,27,5,28,30,,,37,3,15,10,,,dropped,timeout
277,0,27,11,28,28,30,,,1,1,3,1,2,pending,
278,0,27,14,28,28,31,,,3,19,4,1,3,pending,
279,0,27,16,28,35,,,37,0,16,10,,,dropped,timeout
280,0,27,18,28,36,,,37,4,20,10,,,dropped,timeout
281,0,28,0,29,37,,,38,3,15,10,,,dropped,timeout
282,0,28,5,29,35,37,,,1,0,9,7,2,pending,
283,0,28,6,29,34,,,38,4,20,10,,,dropped,timeout
284,0,28,10,29,29,30,,,3,15,2,1,1,pending,
285,0,28,11,29,32,,,38,0,11,10,,,dropped,timeout
286,0,28,12,29,36,,,38,2,7,10,,,dropped,timeout
287,0,28,13,29,33,35,,,0,13,7,5,2,pending,
288,0,28,15,29,36,,,38,0,15,10,,,dropped,timeout
289,0,28,18,29,29,31,,,1,3,3,1,2,pending,
290,0,28,19,29,36,,,38,3,14,10,,,dropped,timeout
291,0,29,1,30,32,,,39,3,16,10,,,dropped,timeout
292,0,29,4,30,37,,,39,3,19,10,,,dropped,timeout
293,0,29,6,30,30,31,,,3,16,2,1,1,pending,
294,0,29,10,30,35,37,,,0,10,8,6,2,pending,
295,0,29,12,30,38,,,39,1,2,10,,,dropped,timeout
296,0,29,13,30,30,31,,,4,20,2,1,1,pending,
297,0,29,14,30,30,32,,,1,4,3,1,2,pending,
298,0,29,15,30,38,,,39,4,20,10,,,dropped,timeout
299,0,29,17,30,33,,,39,1,2,10,,,dropped,timeout
300,0,29,18,30,32,34,,,0,18,5,3,2,pending,
301,0,29,19,30,38,,,39,2,9,10,,,dropped,timeout
302,0,30,1,31,37,,,40,3,16,10,,,dropped,timeout
303,0,30,5,31,31,32,,,4,20,2,1,1,pending,
304,0,30,8,31,35,,,40,2,13,10,,,dropped,timeout
305,0,30,9,31,31,33,,,3,19,3,1,2,pending,
306,0,30,11,31,36,,,40,2,6,10,,,dropped,timeout
307,0,30,13,31,35,39,,,0,13,9,5,4,pending,
308,0,30,14,31,31,38,,,4,20,8,1,7,pending,
309,0,30,15,31,39,,,40,3,10,10,,,dropped,timeout
310,0,30,17,31,37,,,40,1,2,10,,,dropped,timeout
311,0,30,18,31,37,38,,,0,18,8,7,1,pending,
312,0,31,3,32,32,36,,,4,20,5,1,4,pending,
313,0,31,4,32,39,,,41,1,9,10,,,dropped,timeout
314,0,31,7,32,32,34,,,1,2,3,1,2,pending,
315,0,31,8,32,40,,,41,1,3,10,,,dropped,timeout
316,0,31,10,32,37,39,,,4,20,8,6,2,pending,
317,0,31,14,32,36,,,41,3,19,10,,,dropped,timeout
318,0,31,16,32,37,,,41,2,6,10,,,dropped,timeout
319,0,32,0,33,33,35,,,1,5,3,1,2,pending,
320,0,32,1,33,39,,,42,0,1,10,,,dropped,timeout
321,0,32,3,33,35,41,,,2,13,9,3,6,pending,
322,0,32,4,33,41,,,42,1,9,10,,,dropped,timeout
323,0,32,7,33,34,38,,,0,7,6,2,4,pending,
324,0,32,10,33,39,,,42,4,20,10,,,dropped,timeout
325,0,32,13,33,38,39,,,4,20,7,6,1,pending,
326,0,32,16,33,41,,,42,1,1,10,,,dropped,timeout
327,0,32,18,33,38,,,42,4,20,10,,,dropped,timeout
328,0,33,0,34,38,42,,,0,0,9,5,4,pending,
329,0,33,5,34,37,41,,,2,10,8,4,4,pending,
330,0,33,6,34,37,41,,,0,6,8,4,4,pending,
331,0,33,11,34,40,,,43,1,1,10,,,dropped,timeout
332,0,33,12,34,39,,,43,0,12,10,,,dropped,timeout
333,0,33,13,34,34,36,,,4,20,3,1,2,pending,
334,0,33,14,34,41,,,43,1,4,10,,,dropped,timeout
335,0,33,15,34,40,,,43,4,20,10,,,dropped,timeout
336,0,33,19,34,39,,,43,4,20,10,,,dropped,timeout
337,0,34,0,35,41,,,44,2,10,10,,,dropped,timeout
338,0,34,1,35,42,,,44,1,6,10,,,dropped,timeout
339,0,34,2,35,37,,,44,2,12,10,,,dropped,timeout
340,0,34,4,35,42,43,,,0,4,9,8,1,pending,
341,0,34,7,35,37,,,44,3,17,10,,,dropped,timeout
342,0,34,8,35,35,37,,,3,18,3,1,2,pending,
343,0,34,9,35,35,39,,,3,19,5,1,4,pending,
344,0,34,10,35,42,,,44,4,20,10,,,dropped,timeout
345,0,34,12,35,43,,,44,3,17,10,,,dropped,timeout
346,0,34,13,35,37,38,,,0,13,4,3,1,pending,
347,0,34,14,35,43,,,44,3,19,10,,,dropped,timeout
348,0,34,16,35,42,,,44,1,1,10,,,dropped,timeout
349,0,34,18,35,35,36,,,3,13,2,1,1,pending,
350,0,34,19,35,43,,,44,3,14,10,,,dropped,timeout
351,0,35,3,36,39,43,,,3,18,8,4,4,pending,
352,0,35,7,36,41,44,,,2,12,9,6,3,pending,
353,0,35,8,36,41,,,45,0,8,10,,,dropped,timeout
354,0,35,10,36,44,,,45,2,5,10,,,dropped,timeout
355,0,35,12,36,44,,,45,2,7,10,,,dropped,timeout
356,0,35,14,36,44,,,45,4,20,10,,,dropped,timeout
357,0,35,16,36,44,,,45,2,6,10,,,dropped,timeout
358,0,35,17,36,40,,,45,0,17,10,,,dropped,timeout
359,0,35,18,36,41,44,,,0,18,9,6,3,pending,
360,0,35,19,36,36,38,,,4,20,3,1,2,pending,
361,0,36,0,37,44,,,46,1,5,10,,,dropped,timeout
362,0,36,1,37,44,,,46,0,1,10,,,dropped,timeout
363,0,36,3,37,42,,,46,2,13,10,,,dropped,timeout
364,0,36,5,37,37,39,,,3,15,3,1,2,pending,
365,0,36,7,37,37,38,,,4,20,2,1,1,pending,
366,0,36,8,37,44,,,46,3,18,10,,,dropped,timeout
367,0,36,9,37,38,45,,,2,14,9,2,7,pending,
368,0,36,10,37,37,38,,,1,0,2,1,1,pending,
369,0,36,14,37,45,,,46,3,19,10,,,dropped,timeout
370,0,36,15,37,37,39,,,1,0,3,1,2,pending,
371,0,36,16,37,45,,,46,2,6,10,,,dropped,timeout
372,0,36,17,37,37,38,,,2,7,2,1,1,pending,
